"ID","Banda","nm","Reflectance","Repeticiones"
"Asys_floracion(SC)","Rojo",621,0.058,1
"Asys_floracion(SC)","Rojo",621,0.034,2
"Asys_floracion(SC)","Rojo",621,0.052,3
"Asys_floracion(SC)","Rojo",621,0.045,4
"Asys_floracion(SC)","Rojo",621,0.028,5
"Asys_floracion(SC)","Rojo",621,0.033,6
"Asys_floracion(SC)","Rojo",621,0.03,7
"Asys_floracion(SC)","Rojo",621,0.036,8
"Asys_floracion(SC)","Rojo",621,0.057,9
"Asys_floracion(SC)","Rojo",621,0.059,10
"Asys_floracion(SC)","Rojo",621,0.048,11
"Asys_floracion(SC)","Rojo",621,0.057,12
"Asys_floracion(SC)","Rojo",621,0.074,13
"Asys_floracion(SC)","Rojo",621,0.045,14
"Asys_floracion(SC)","Rojo",621,0.046,15
"Asys_floracion(SC)","Rojo",621,0.048,16
"Asys_floracion(SC)","Rojo",621,0.041,17
"Asys_floracion(SC)","Rojo",621,0.045,18
"Asys_floracion(SC)","Rojo",621,0.037,19
"Asys_floracion(SC)","Rojo",621,0.038,20
"Asys_floracion(SC)","Rojo",622,0.057,1
"Asys_floracion(SC)","Rojo",622,0.034,2
"Asys_floracion(SC)","Rojo",622,0.052,3
"Asys_floracion(SC)","Rojo",622,0.045,4
"Asys_floracion(SC)","Rojo",622,0.028,5
"Asys_floracion(SC)","Rojo",622,0.033,6
"Asys_floracion(SC)","Rojo",622,0.03,7
"Asys_floracion(SC)","Rojo",622,0.035,8
"Asys_floracion(SC)","Rojo",622,0.057,9
"Asys_floracion(SC)","Rojo",622,0.059,10
"Asys_floracion(SC)","Rojo",622,0.048,11
"Asys_floracion(SC)","Rojo",622,0.056,12
"Asys_floracion(SC)","Rojo",622,0.074,13
"Asys_floracion(SC)","Rojo",622,0.045,14
"Asys_floracion(SC)","Rojo",622,0.045,15
"Asys_floracion(SC)","Rojo",622,0.048,16
"Asys_floracion(SC)","Rojo",622,0.04,17
"Asys_floracion(SC)","Rojo",622,0.045,18
"Asys_floracion(SC)","Rojo",622,0.037,19
"Asys_floracion(SC)","Rojo",622,0.037,20
"Asys_floracion(SC)","Rojo",623,0.057,1
"Asys_floracion(SC)","Rojo",623,0.034,2
"Asys_floracion(SC)","Rojo",623,0.051,3
"Asys_floracion(SC)","Rojo",623,0.044,4
"Asys_floracion(SC)","Rojo",623,0.028,5
"Asys_floracion(SC)","Rojo",623,0.032,6
"Asys_floracion(SC)","Rojo",623,0.029,7
"Asys_floracion(SC)","Rojo",623,0.035,8
"Asys_floracion(SC)","Rojo",623,0.057,9
"Asys_floracion(SC)","Rojo",623,0.059,10
"Asys_floracion(SC)","Rojo",623,0.048,11
"Asys_floracion(SC)","Rojo",623,0.056,12
"Asys_floracion(SC)","Rojo",623,0.073,13
"Asys_floracion(SC)","Rojo",623,0.044,14
"Asys_floracion(SC)","Rojo",623,0.045,15
"Asys_floracion(SC)","Rojo",623,0.047,16
"Asys_floracion(SC)","Rojo",623,0.04,17
"Asys_floracion(SC)","Rojo",623,0.044,18
"Asys_floracion(SC)","Rojo",623,0.037,19
"Asys_floracion(SC)","Rojo",623,0.037,20
"Asys_floracion(SC)","Rojo",624,0.057,1
"Asys_floracion(SC)","Rojo",624,0.034,2
"Asys_floracion(SC)","Rojo",624,0.051,3
"Asys_floracion(SC)","Rojo",624,0.044,4
"Asys_floracion(SC)","Rojo",624,0.028,5
"Asys_floracion(SC)","Rojo",624,0.032,6
"Asys_floracion(SC)","Rojo",624,0.029,7
"Asys_floracion(SC)","Rojo",624,0.035,8
"Asys_floracion(SC)","Rojo",624,0.056,9
"Asys_floracion(SC)","Rojo",624,0.058,10
"Asys_floracion(SC)","Rojo",624,0.048,11
"Asys_floracion(SC)","Rojo",624,0.056,12
"Asys_floracion(SC)","Rojo",624,0.073,13
"Asys_floracion(SC)","Rojo",624,0.044,14
"Asys_floracion(SC)","Rojo",624,0.045,15
"Asys_floracion(SC)","Rojo",624,0.047,16
"Asys_floracion(SC)","Rojo",624,0.04,17
"Asys_floracion(SC)","Rojo",624,0.044,18
"Asys_floracion(SC)","Rojo",624,0.037,19
"Asys_floracion(SC)","Rojo",624,0.037,20
"Asys_floracion(SC)","Rojo",625,0.056,1
"Asys_floracion(SC)","Rojo",625,0.033,2
"Asys_floracion(SC)","Rojo",625,0.051,3
"Asys_floracion(SC)","Rojo",625,0.044,4
"Asys_floracion(SC)","Rojo",625,0.028,5
"Asys_floracion(SC)","Rojo",625,0.032,6
"Asys_floracion(SC)","Rojo",625,0.029,7
"Asys_floracion(SC)","Rojo",625,0.035,8
"Asys_floracion(SC)","Rojo",625,0.056,9
"Asys_floracion(SC)","Rojo",625,0.058,10
"Asys_floracion(SC)","Rojo",625,0.048,11
"Asys_floracion(SC)","Rojo",625,0.056,12
"Asys_floracion(SC)","Rojo",625,0.072,13
"Asys_floracion(SC)","Rojo",625,0.044,14
"Asys_floracion(SC)","Rojo",625,0.045,15
"Asys_floracion(SC)","Rojo",625,0.047,16
"Asys_floracion(SC)","Rojo",625,0.04,17
"Asys_floracion(SC)","Rojo",625,0.044,18
"Asys_floracion(SC)","Rojo",625,0.036,19
"Asys_floracion(SC)","Rojo",625,0.037,20
"Asys_floracion(SC)","Rojo",626,0.056,1
"Asys_floracion(SC)","Rojo",626,0.033,2
"Asys_floracion(SC)","Rojo",626,0.051,3
"Asys_floracion(SC)","Rojo",626,0.044,4
"Asys_floracion(SC)","Rojo",626,0.028,5
"Asys_floracion(SC)","Rojo",626,0.032,6
"Asys_floracion(SC)","Rojo",626,0.029,7
"Asys_floracion(SC)","Rojo",626,0.035,8
"Asys_floracion(SC)","Rojo",626,0.056,9
"Asys_floracion(SC)","Rojo",626,0.058,10
"Asys_floracion(SC)","Rojo",626,0.047,11
"Asys_floracion(SC)","Rojo",626,0.055,12
"Asys_floracion(SC)","Rojo",626,0.072,13
"Asys_floracion(SC)","Rojo",626,0.044,14
"Asys_floracion(SC)","Rojo",626,0.044,15
"Asys_floracion(SC)","Rojo",626,0.047,16
"Asys_floracion(SC)","Rojo",626,0.04,17
"Asys_floracion(SC)","Rojo",626,0.044,18
"Asys_floracion(SC)","Rojo",626,0.036,19
"Asys_floracion(SC)","Rojo",626,0.036,20
"Asys_floracion(SC)","Rojo",627,0.056,1
"Asys_floracion(SC)","Rojo",627,0.033,2
"Asys_floracion(SC)","Rojo",627,0.05,3
"Asys_floracion(SC)","Rojo",627,0.044,4
"Asys_floracion(SC)","Rojo",627,0.028,5
"Asys_floracion(SC)","Rojo",627,0.032,6
"Asys_floracion(SC)","Rojo",627,0.029,7
"Asys_floracion(SC)","Rojo",627,0.034,8
"Asys_floracion(SC)","Rojo",627,0.056,9
"Asys_floracion(SC)","Rojo",627,0.058,10
"Asys_floracion(SC)","Rojo",627,0.047,11
"Asys_floracion(SC)","Rojo",627,0.055,12
"Asys_floracion(SC)","Rojo",627,0.072,13
"Asys_floracion(SC)","Rojo",627,0.044,14
"Asys_floracion(SC)","Rojo",627,0.044,15
"Asys_floracion(SC)","Rojo",627,0.047,16
"Asys_floracion(SC)","Rojo",627,0.04,17
"Asys_floracion(SC)","Rojo",627,0.044,18
"Asys_floracion(SC)","Rojo",627,0.036,19
"Asys_floracion(SC)","Rojo",627,0.036,20
"Asys_floracion(SC)","Rojo",628,0.056,1
"Asys_floracion(SC)","Rojo",628,0.033,2
"Asys_floracion(SC)","Rojo",628,0.05,3
"Asys_floracion(SC)","Rojo",628,0.044,4
"Asys_floracion(SC)","Rojo",628,0.027,5
"Asys_floracion(SC)","Rojo",628,0.032,6
"Asys_floracion(SC)","Rojo",628,0.029,7
"Asys_floracion(SC)","Rojo",628,0.034,8
"Asys_floracion(SC)","Rojo",628,0.056,9
"Asys_floracion(SC)","Rojo",628,0.058,10
"Asys_floracion(SC)","Rojo",628,0.047,11
"Asys_floracion(SC)","Rojo",628,0.055,12
"Asys_floracion(SC)","Rojo",628,0.072,13
"Asys_floracion(SC)","Rojo",628,0.044,14
"Asys_floracion(SC)","Rojo",628,0.044,15
"Asys_floracion(SC)","Rojo",628,0.046,16
"Asys_floracion(SC)","Rojo",628,0.039,17
"Asys_floracion(SC)","Rojo",628,0.043,18
"Asys_floracion(SC)","Rojo",628,0.036,19
"Asys_floracion(SC)","Rojo",628,0.036,20
"Asys_floracion(SC)","Rojo",629,0.056,1
"Asys_floracion(SC)","Rojo",629,0.033,2
"Asys_floracion(SC)","Rojo",629,0.05,3
"Asys_floracion(SC)","Rojo",629,0.044,4
"Asys_floracion(SC)","Rojo",629,0.027,5
"Asys_floracion(SC)","Rojo",629,0.032,6
"Asys_floracion(SC)","Rojo",629,0.029,7
"Asys_floracion(SC)","Rojo",629,0.034,8
"Asys_floracion(SC)","Rojo",629,0.056,9
"Asys_floracion(SC)","Rojo",629,0.058,10
"Asys_floracion(SC)","Rojo",629,0.047,11
"Asys_floracion(SC)","Rojo",629,0.055,12
