"ID","Banda","nm","Reflectance","Repeticiones"
"Asys_floracion(SC)","Verde",496,0.032,1
"Asys_floracion(SC)","Verde",496,0.021,2
"Asys_floracion(SC)","Verde",496,0.034,3
"Asys_floracion(SC)","Verde",496,0.028,4
"Asys_floracion(SC)","Verde",496,0.018,5
"Asys_floracion(SC)","Verde",496,0.021,6
"Asys_floracion(SC)","Verde",496,0.018,7
"Asys_floracion(SC)","Verde",496,0.018,8
"Asys_floracion(SC)","Verde",496,0.032,9
"Asys_floracion(SC)","Verde",496,0.04,10
"Asys_floracion(SC)","Verde",496,0.03,11
"Asys_floracion(SC)","Verde",496,0.033,12
"Asys_floracion(SC)","Verde",496,0.04,13
"Asys_floracion(SC)","Verde",496,0.027,14
"Asys_floracion(SC)","Verde",496,0.028,15
"Asys_floracion(SC)","Verde",496,0.028,16
"Asys_floracion(SC)","Verde",496,0.024,17
"Asys_floracion(SC)","Verde",496,0.027,18
"Asys_floracion(SC)","Verde",496,0.022,19
"Asys_floracion(SC)","Verde",496,0.023,20
"Asys_floracion(SC)","Verde",497,0.032,1
"Asys_floracion(SC)","Verde",497,0.021,2
"Asys_floracion(SC)","Verde",497,0.034,3
"Asys_floracion(SC)","Verde",497,0.028,4
"Asys_floracion(SC)","Verde",497,0.018,5
"Asys_floracion(SC)","Verde",497,0.021,6
"Asys_floracion(SC)","Verde",497,0.018,7
"Asys_floracion(SC)","Verde",497,0.019,8
"Asys_floracion(SC)","Verde",497,0.033,9
"Asys_floracion(SC)","Verde",497,0.04,10
"Asys_floracion(SC)","Verde",497,0.03,11
"Asys_floracion(SC)","Verde",497,0.033,12
"Asys_floracion(SC)","Verde",497,0.041,13
"Asys_floracion(SC)","Verde",497,0.027,14
"Asys_floracion(SC)","Verde",497,0.028,15
"Asys_floracion(SC)","Verde",497,0.028,16
"Asys_floracion(SC)","Verde",497,0.024,17
"Asys_floracion(SC)","Verde",497,0.028,18
"Asys_floracion(SC)","Verde",497,0.023,19
"Asys_floracion(SC)","Verde",497,0.023,20
"Asys_floracion(SC)","Verde",498,0.033,1
"Asys_floracion(SC)","Verde",498,0.022,2
"Asys_floracion(SC)","Verde",498,0.035,3
"Asys_floracion(SC)","Verde",498,0.028,4
"Asys_floracion(SC)","Verde",498,0.018,5
"Asys_floracion(SC)","Verde",498,0.021,6
"Asys_floracion(SC)","Verde",498,0.018,7
"Asys_floracion(SC)","Verde",498,0.019,8
"Asys_floracion(SC)","Verde",498,0.033,9
"Asys_floracion(SC)","Verde",498,0.041,10
"Asys_floracion(SC)","Verde",498,0.031,11
"Asys_floracion(SC)","Verde",498,0.034,12
"Asys_floracion(SC)","Verde",498,0.042,13
"Asys_floracion(SC)","Verde",498,0.028,14
"Asys_floracion(SC)","Verde",498,0.028,15
"Asys_floracion(SC)","Verde",498,0.029,16
"Asys_floracion(SC)","Verde",498,0.025,17
"Asys_floracion(SC)","Verde",498,0.028,18
"Asys_floracion(SC)","Verde",498,0.023,19
"Asys_floracion(SC)","Verde",498,0.023,20
"Asys_floracion(SC)","Verde",499,0.033,1
"Asys_floracion(SC)","Verde",499,0.022,2
"Asys_floracion(SC)","Verde",499,0.035,3
"Asys_floracion(SC)","Verde",499,0.029,4
"Asys_floracion(SC)","Verde",499,0.019,5
"Asys_floracion(SC)","Verde",499,0.022,6
"Asys_floracion(SC)","Verde",499,0.019,7
"Asys_floracion(SC)","Verde",499,0.02,8
"Asys_floracion(SC)","Verde",499,0.034,9
"Asys_floracion(SC)","Verde",499,0.041,10
"Asys_floracion(SC)","Verde",499,0.031,11
"Asys_floracion(SC)","Verde",499,0.034,12
"Asys_floracion(SC)","Verde",499,0.042,13
"Asys_floracion(SC)","Verde",499,0.028,14
"Asys_floracion(SC)","Verde",499,0.029,15
"Asys_floracion(SC)","Verde",499,0.029,16
"Asys_floracion(SC)","Verde",499,0.025,17
"Asys_floracion(SC)","Verde",499,0.029,18
"Asys_floracion(SC)","Verde",499,0.023,19
"Asys_floracion(SC)","Verde",499,0.024,20
"Asys_floracion(SC)","Verde",500,0.034,1
"Asys_floracion(SC)","Verde",500,0.022,2
"Asys_floracion(SC)","Verde",500,0.036,3
"Asys_floracion(SC)","Verde",500,0.029,4
"Asys_floracion(SC)","Verde",500,0.019,5
"Asys_floracion(SC)","Verde",500,0.022,6
"Asys_floracion(SC)","Verde",500,0.019,7
"Asys_floracion(SC)","Verde",500,0.02,8
"Asys_floracion(SC)","Verde",500,0.034,9
"Asys_floracion(SC)","Verde",500,0.042,10
"Asys_floracion(SC)","Verde",500,0.032,11
"Asys_floracion(SC)","Verde",500,0.035,12
"Asys_floracion(SC)","Verde",500,0.043,13
"Asys_floracion(SC)","Verde",500,0.029,14
"Asys_floracion(SC)","Verde",500,0.029,15
"Asys_floracion(SC)","Verde",500,0.03,16
"Asys_floracion(SC)","Verde",500,0.026,17
"Asys_floracion(SC)","Verde",500,0.029,18
"Asys_floracion(SC)","Verde",500,0.024,19
"Asys_floracion(SC)","Verde",500,0.024,20
"Asys_floracion(SC)","Verde",501,0.035,1
"Asys_floracion(SC)","Verde",501,0.023,2
"Asys_floracion(SC)","Verde",501,0.036,3
"Asys_floracion(SC)","Verde",501,0.03,4
"Asys_floracion(SC)","Verde",501,0.019,5
"Asys_floracion(SC)","Verde",501,0.022,6
"Asys_floracion(SC)","Verde",501,0.019,7
"Asys_floracion(SC)","Verde",501,0.021,8
"Asys_floracion(SC)","Verde",501,0.035,9
"Asys_floracion(SC)","Verde",501,0.042,10
"Asys_floracion(SC)","Verde",501,0.032,11
"Asys_floracion(SC)","Verde",501,0.036,12
"Asys_floracion(SC)","Verde",501,0.044,13
"Asys_floracion(SC)","Verde",501,0.03,14
"Asys_floracion(SC)","Verde",501,0.03,15
"Asys_floracion(SC)","Verde",501,0.031,16
"Asys_floracion(SC)","Verde",501,0.026,17
"Asys_floracion(SC)","Verde",501,0.03,18
"Asys_floracion(SC)","Verde",501,0.024,19
"Asys_floracion(SC)","Verde",501,0.025,20
"Asys_floracion(SC)","Verde",502,0.036,1
"Asys_floracion(SC)","Verde",502,0.024,2
"Asys_floracion(SC)","Verde",502,0.037,3
"Asys_floracion(SC)","Verde",502,0.03,4
"Asys_floracion(SC)","Verde",502,0.02,5
"Asys_floracion(SC)","Verde",502,0.023,6
"Asys_floracion(SC)","Verde",502,0.02,7
"Asys_floracion(SC)","Verde",502,0.021,8
"Asys_floracion(SC)","Verde",502,0.036,9
"Asys_floracion(SC)","Verde",502,0.043,10
"Asys_floracion(SC)","Verde",502,0.033,11
"Asys_floracion(SC)","Verde",502,0.037,12
"Asys_floracion(SC)","Verde",502,0.045,13
"Asys_floracion(SC)","Verde",502,0.03,14
"Asys_floracion(SC)","Verde",502,0.031,15
"Asys_floracion(SC)","Verde",502,0.031,16
"Asys_floracion(SC)","Verde",502,0.027,17
"Asys_floracion(SC)","Verde",502,0.03,18
"Asys_floracion(SC)","Verde",502,0.025,19
"Asys_floracion(SC)","Verde",502,0.025,20
"Asys_floracion(SC)","Verde",503,0.037,1
"Asys_floracion(SC)","Verde",503,0.024,2
"Asys_floracion(SC)","Verde",503,0.037,3
"Asys_floracion(SC)","Verde",503,0.031,4
"Asys_floracion(SC)","Verde",503,0.02,5
"Asys_floracion(SC)","Verde",503,0.023,6
"Asys_floracion(SC)","Verde",503,0.02,7
"Asys_floracion(SC)","Verde",503,0.022,8
"Asys_floracion(SC)","Verde",503,0.037,9
"Asys_floracion(SC)","Verde",503,0.044,10
"Asys_floracion(SC)","Verde",503,0.034,11
