"ID","Banda","nm","Reflectance","Repeticiones"
"Asys_nofloracion(SC)","Azul",451,0.023,1
"Asys_nofloracion(SC)","Azul",451,0.018,2
"Asys_nofloracion(SC)","Azul",451,0.02,3
"Asys_nofloracion(SC)","Azul",451,0.027,4
"Asys_nofloracion(SC)","Azul",451,0.026,5
"Asys_nofloracion(SC)","Azul",451,0.027,6
"Asys_nofloracion(SC)","Azul",451,0.016,7
"Asys_nofloracion(SC)","Azul",451,0.018,8
"Asys_nofloracion(SC)","Azul",451,0.023,9
"Asys_nofloracion(SC)","Azul",451,0.02,10
"Asys_nofloracion(SC)","Azul",451,0.039,11
"Asys_nofloracion(SC)","Azul",451,0.024,12
"Asys_nofloracion(SC)","Azul",451,0.034,13
"Asys_nofloracion(SC)","Azul",451,0.027,14
"Asys_nofloracion(SC)","Azul",451,0.035,15
"Asys_nofloracion(SC)","Azul",451,0.041,16
"Asys_nofloracion(SC)","Azul",451,0.036,17
"Asys_nofloracion(SC)","Azul",451,0.028,18
"Asys_nofloracion(SC)","Azul",451,0.021,19
"Asys_nofloracion(SC)","Azul",451,0.027,20
"Asys_nofloracion(SC)","Azul",452,0.023,1
"Asys_nofloracion(SC)","Azul",452,0.019,2
"Asys_nofloracion(SC)","Azul",452,0.02,3
"Asys_nofloracion(SC)","Azul",452,0.027,4
"Asys_nofloracion(SC)","Azul",452,0.027,5
"Asys_nofloracion(SC)","Azul",452,0.027,6
"Asys_nofloracion(SC)","Azul",452,0.016,7
"Asys_nofloracion(SC)","Azul",452,0.018,8
"Asys_nofloracion(SC)","Azul",452,0.023,9
"Asys_nofloracion(SC)","Azul",452,0.02,10
"Asys_nofloracion(SC)","Azul",452,0.039,11
"Asys_nofloracion(SC)","Azul",452,0.024,12
"Asys_nofloracion(SC)","Azul",452,0.034,13
"Asys_nofloracion(SC)","Azul",452,0.027,14
"Asys_nofloracion(SC)","Azul",452,0.035,15
"Asys_nofloracion(SC)","Azul",452,0.042,16
"Asys_nofloracion(SC)","Azul",452,0.037,17
"Asys_nofloracion(SC)","Azul",452,0.028,18
"Asys_nofloracion(SC)","Azul",452,0.022,19
"Asys_nofloracion(SC)","Azul",452,0.027,20
"Asys_nofloracion(SC)","Azul",453,0.023,1
"Asys_nofloracion(SC)","Azul",453,0.019,2
"Asys_nofloracion(SC)","Azul",453,0.02,3
"Asys_nofloracion(SC)","Azul",453,0.027,4
"Asys_nofloracion(SC)","Azul",453,0.027,5
"Asys_nofloracion(SC)","Azul",453,0.027,6
"Asys_nofloracion(SC)","Azul",453,0.016,7
"Asys_nofloracion(SC)","Azul",453,0.018,8
"Asys_nofloracion(SC)","Azul",453,0.023,9
"Asys_nofloracion(SC)","Azul",453,0.02,10
"Asys_nofloracion(SC)","Azul",453,0.039,11
"Asys_nofloracion(SC)","Azul",453,0.024,12
"Asys_nofloracion(SC)","Azul",453,0.034,13
"Asys_nofloracion(SC)","Azul",453,0.027,14
"Asys_nofloracion(SC)","Azul",453,0.035,15
"Asys_nofloracion(SC)","Azul",453,0.042,16
"Asys_nofloracion(SC)","Azul",453,0.037,17
"Asys_nofloracion(SC)","Azul",453,0.028,18
"Asys_nofloracion(SC)","Azul",453,0.022,19
"Asys_nofloracion(SC)","Azul",453,0.027,20
"Asys_nofloracion(SC)","Azul",454,0.023,1
"Asys_nofloracion(SC)","Azul",454,0.019,2
"Asys_nofloracion(SC)","Azul",454,0.02,3
"Asys_nofloracion(SC)","Azul",454,0.027,4
"Asys_nofloracion(SC)","Azul",454,0.027,5
"Asys_nofloracion(SC)","Azul",454,0.027,6
"Asys_nofloracion(SC)","Azul",454,0.016,7
"Asys_nofloracion(SC)","Azul",454,0.018,8
"Asys_nofloracion(SC)","Azul",454,0.023,9
"Asys_nofloracion(SC)","Azul",454,0.02,10
"Asys_nofloracion(SC)","Azul",454,0.039,11
"Asys_nofloracion(SC)","Azul",454,0.024,12
"Asys_nofloracion(SC)","Azul",454,0.034,13
"Asys_nofloracion(SC)","Azul",454,0.027,14
"Asys_nofloracion(SC)","Azul",454,0.035,15
"Asys_nofloracion(SC)","Azul",454,0.042,16
"Asys_nofloracion(SC)","Azul",454,0.037,17
"Asys_nofloracion(SC)","Azul",454,0.028,18
"Asys_nofloracion(SC)","Azul",454,0.022,19
"Asys_nofloracion(SC)","Azul",454,0.028,20
"Asys_nofloracion(SC)","Azul",455,0.023,1
"Asys_nofloracion(SC)","Azul",455,0.019,2
