"ID","Banda","nm","Reflectance","Repeticiones"
"Asys_nofloracion(SC)","NIR",751,0.325,1
"Asys_nofloracion(SC)","NIR",751,0.404,2
"Asys_nofloracion(SC)","NIR",751,0.318,3
"Asys_nofloracion(SC)","NIR",751,0.388,4
"Asys_nofloracion(SC)","NIR",751,0.318,5
"Asys_nofloracion(SC)","NIR",751,0.433,6
"Asys_nofloracion(SC)","NIR",751,0.274,7
"Asys_nofloracion(SC)","NIR",751,0.283,8
"Asys_nofloracion(SC)","NIR",751,0.436,9
"Asys_nofloracion(SC)","NIR",751,0.416,10
"Asys_nofloracion(SC)","NIR",751,0.506,11
"Asys_nofloracion(SC)","NIR",751,0.56,12
"Asys_nofloracion(SC)","NIR",751,0.563,13
"Asys_nofloracion(SC)","NIR",751,0.593,14
"Asys_nofloracion(SC)","NIR",751,0.568,15
"Asys_nofloracion(SC)","NIR",751,0.647,16
"Asys_nofloracion(SC)","NIR",751,0.496,17
"Asys_nofloracion(SC)","NIR",751,0.481,18
"Asys_nofloracion(SC)","NIR",751,0.406,19
"Asys_nofloracion(SC)","NIR",751,0.415,20
"Asys_nofloracion(SC)","NIR",752,0.327,1
"Asys_nofloracion(SC)","NIR",752,0.406,2
"Asys_nofloracion(SC)","NIR",752,0.32,3
"Asys_nofloracion(SC)","NIR",752,0.39,4
"Asys_nofloracion(SC)","NIR",752,0.32,5
"Asys_nofloracion(SC)","NIR",752,0.436,6
"Asys_nofloracion(SC)","NIR",752,0.276,7
"Asys_nofloracion(SC)","NIR",752,0.285,8
"Asys_nofloracion(SC)","NIR",752,0.439,9
"Asys_nofloracion(SC)","NIR",752,0.419,10
"Asys_nofloracion(SC)","NIR",752,0.509,11
"Asys_nofloracion(SC)","NIR",752,0.564,12
"Asys_nofloracion(SC)","NIR",752,0.566,13
"Asys_nofloracion(SC)","NIR",752,0.596,14
"Asys_nofloracion(SC)","NIR",752,0.571,15
"Asys_nofloracion(SC)","NIR",752,0.651,16
"Asys_nofloracion(SC)","NIR",752,0.498,17
"Asys_nofloracion(SC)","NIR",752,0.484,18
"Asys_nofloracion(SC)","NIR",752,0.409,19
"Asys_nofloracion(SC)","NIR",752,0.417,20
"Asys_nofloracion(SC)","NIR",753,0.328,1
"Asys_nofloracion(SC)","NIR",753,0.408,2
"Asys_nofloracion(SC)","NIR",753,0.32,3
"Asys_nofloracion(SC)","NIR",753,0.391,4
"Asys_nofloracion(SC)","NIR",753,0.321,5
"Asys_nofloracion(SC)","NIR",753,0.438,6
"Asys_nofloracion(SC)","NIR",753,0.277,7
"Asys_nofloracion(SC)","NIR",753,0.287,8
"Asys_nofloracion(SC)","NIR",753,0.442,9
"Asys_nofloracion(SC)","NIR",753,0.422,10
"Asys_nofloracion(SC)","NIR",753,0.511,11
"Asys_nofloracion(SC)","NIR",753,0.567,12
"Asys_nofloracion(SC)","NIR",753,0.569,13
"Asys_nofloracion(SC)","NIR",753,0.599,14
"Asys_nofloracion(SC)","NIR",753,0.574,15
"Asys_nofloracion(SC)","NIR",753,0.654,16
"Asys_nofloracion(SC)","NIR",753,0.5,17
"Asys_nofloracion(SC)","NIR",753,0.487,18
"Asys_nofloracion(SC)","NIR",753,0.412,19
"Asys_nofloracion(SC)","NIR",753,0.419,20
"Asys_nofloracion(SC)","NIR",754,0.329,1
"Asys_nofloracion(SC)","NIR",754,0.41,2
"Asys_nofloracion(SC)","NIR",754,0.321,3
"Asys_nofloracion(SC)","NIR",754,0.392,4
"Asys_nofloracion(SC)","NIR",754,0.323,5
"Asys_nofloracion(SC)","NIR",754,0.44,6
"Asys_nofloracion(SC)","NIR",754,0.278,7
"Asys_nofloracion(SC)","NIR",754,0.288,8
"Asys_nofloracion(SC)","NIR",754,0.444,9
"Asys_nofloracion(SC)","NIR",754,0.424,10
"Asys_nofloracion(SC)","NIR",754,0.513,11
"Asys_nofloracion(SC)","NIR",754,0.57,12
"Asys_nofloracion(SC)","NIR",754,0.572,13
"Asys_nofloracion(SC)","NIR",754,0.601,14
"Asys_nofloracion(SC)","NIR",754,0.576,15
"Asys_nofloracion(SC)","NIR",754,0.657,16
"Asys_nofloracion(SC)","NIR",754,0.503,17
"Asys_nofloracion(SC)","NIR",754,0.49,18
"Asys_nofloracion(SC)","NIR",754,0.414,19
"Asys_nofloracion(SC)","NIR",754,0.421,20
"Asys_nofloracion(SC)","NIR",755,0.33,1
"Asys_nofloracion(SC)","NIR",755,0.411,2
"Asys_nofloracion(SC)","NIR",755,0.322,3
"Asys_nofloracion(SC)","NIR",755,0.393,4
"Asys_nofloracion(SC)","NIR",755,0.324,5
"Asys_nofloracion(SC)","NIR",755,0.442,6
"Asys_nofloracion(SC)","NIR",755,0.279,7
"Asys_nofloracion(SC)","NIR",755,0.289,8
"Asys_nofloracion(SC)","NIR",755,0.446,9
"Asys_nofloracion(SC)","NIR",755,0.426,10
"Asys_nofloracion(SC)","NIR",755,0.514,11
"Asys_nofloracion(SC)","NIR",755,0.573,12
"Asys_nofloracion(SC)","NIR",755,0.574,13
"Asys_nofloracion(SC)","NIR",755,0.604,14
"Asys_nofloracion(SC)","NIR",755,0.578,15
"Asys_nofloracion(SC)","NIR",755,0.659,16
"Asys_nofloracion(SC)","NIR",755,0.504,17
"Asys_nofloracion(SC)","NIR",755,0.492,18
"Asys_nofloracion(SC)","NIR",755,0.417,19
"Asys_nofloracion(SC)","NIR",755,0.423,20
"Asys_nofloracion(SC)","NIR",756,0.33,1
"Asys_nofloracion(SC)","NIR",756,0.412,2
"Asys_nofloracion(SC)","NIR",756,0.322,3
"Asys_nofloracion(SC)","NIR",756,0.394,4
"Asys_nofloracion(SC)","NIR",756,0.324,5
"Asys_nofloracion(SC)","NIR",756,0.442,6
"Asys_nofloracion(SC)","NIR",756,0.28,7
"Asys_nofloracion(SC)","NIR",756,0.29,8
"Asys_nofloracion(SC)","NIR",756,0.447,9
"Asys_nofloracion(SC)","NIR",756,0.427,10
"Asys_nofloracion(SC)","NIR",756,0.516,11
"Asys_nofloracion(SC)","NIR",756,0.575,12
"Asys_nofloracion(SC)","NIR",756,0.576,13
"Asys_nofloracion(SC)","NIR",756,0.605,14
"Asys_nofloracion(SC)","NIR",756,0.581,15
"Asys_nofloracion(SC)","NIR",756,0.662,16
"Asys_nofloracion(SC)","NIR",756,0.506,17
"Asys_nofloracion(SC)","NIR",756,0.495,18
"Asys_nofloracion(SC)","NIR",756,0.419,19
"Asys_nofloracion(SC)","NIR",756,0.425,20
"Asys_nofloracion(SC)","NIR",757,0.329,1
"Asys_nofloracion(SC)","NIR",757,0.413,2
"Asys_nofloracion(SC)","NIR",757,0.322,3
"Asys_nofloracion(SC)","NIR",757,0.393,4
"Asys_nofloracion(SC)","NIR",757,0.325,5
"Asys_nofloracion(SC)","NIR",757,0.441,6
"Asys_nofloracion(SC)","NIR",757,0.279,7
"Asys_nofloracion(SC)","NIR",757,0.29,8
"Asys_nofloracion(SC)","NIR",757,0.446,9
"Asys_nofloracion(SC)","NIR",757,0.426,10
"Asys_nofloracion(SC)","NIR",757,0.517,11
"Asys_nofloracion(SC)","NIR",757,0.577,12
"Asys_nofloracion(SC)","NIR",757,0.579,13
"Asys_nofloracion(SC)","NIR",757,0.606,14
"Asys_nofloracion(SC)","NIR",757,0.583,15
"Asys_nofloracion(SC)","NIR",757,0.665,16
"Asys_nofloracion(SC)","NIR",757,0.508,17
"Asys_nofloracion(SC)","NIR",757,0.497,18
"Asys_nofloracion(SC)","NIR",757,0.421,19
"Asys_nofloracion(SC)","NIR",757,0.426,20
"Asys_nofloracion(SC)","NIR",758,0.327,1
"Asys_nofloracion(SC)","NIR",758,0.412,2
"Asys_nofloracion(SC)","NIR",758,0.322,3
"Asys_nofloracion(SC)","NIR",758,0.39,4
"Asys_nofloracion(SC)","NIR",758,0.324,5
"Asys_nofloracion(SC)","NIR",758,0.438,6
"Asys_nofloracion(SC)","NIR",758,0.278,7
"Asys_nofloracion(SC)","NIR",758,0.289,8
"Asys_nofloracion(SC)","NIR",758,0.443,9
"Asys_nofloracion(SC)","NIR",758,0.422,10
"Asys_nofloracion(SC)","NIR",758,0.517,11
"Asys_nofloracion(SC)","NIR",758,0.578,12
