"ID","Banda","nm","Reflectance","Repeticiones"
"Asys_nofloracion(SC)","Red_edge",700,0.09,1
"Asys_nofloracion(SC)","Red_edge",700,0.081,2
"Asys_nofloracion(SC)","Red_edge",700,0.102,3
"Asys_nofloracion(SC)","Red_edge",700,0.107,4
"Asys_nofloracion(SC)","Red_edge",700,0.085,5
"Asys_nofloracion(SC)","Red_edge",700,0.103,6
"Asys_nofloracion(SC)","Red_edge",700,0.073,7
"Asys_nofloracion(SC)","Red_edge",700,0.068,8
"Asys_nofloracion(SC)","Red_edge",700,0.075,9
"Asys_nofloracion(SC)","Red_edge",700,0.075,10
"Asys_nofloracion(SC)","Red_edge",700,0.135,11
"Asys_nofloracion(SC)","Red_edge",700,0.107,12
"Asys_nofloracion(SC)","Red_edge",700,0.142,13
"Asys_nofloracion(SC)","Red_edge",700,0.131,14
"Asys_nofloracion(SC)","Red_edge",700,0.134,15
"Asys_nofloracion(SC)","Red_edge",700,0.143,16
"Asys_nofloracion(SC)","Red_edge",700,0.126,17
"Asys_nofloracion(SC)","Red_edge",700,0.099,18
"Asys_nofloracion(SC)","Red_edge",700,0.092,19
"Asys_nofloracion(SC)","Red_edge",700,0.109,20
"Asys_nofloracion(SC)","Red_edge",701,0.096,1
"Asys_nofloracion(SC)","Red_edge",701,0.088,2
"Asys_nofloracion(SC)","Red_edge",701,0.109,3
"Asys_nofloracion(SC)","Red_edge",701,0.115,4
"Asys_nofloracion(SC)","Red_edge",701,0.09,5
"Asys_nofloracion(SC)","Red_edge",701,0.111,6
"Asys_nofloracion(SC)","Red_edge",701,0.078,7
"Asys_nofloracion(SC)","Red_edge",701,0.073,8
"Asys_nofloracion(SC)","Red_edge",701,0.082,9
"Asys_nofloracion(SC)","Red_edge",701,0.081,10
"Asys_nofloracion(SC)","Red_edge",701,0.144,11
"Asys_nofloracion(SC)","Red_edge",701,0.116,12
"Asys_nofloracion(SC)","Red_edge",701,0.152,13
"Asys_nofloracion(SC)","Red_edge",701,0.142,14
"Asys_nofloracion(SC)","Red_edge",701,0.144,15
"Asys_nofloracion(SC)","Red_edge",701,0.154,16
"Asys_nofloracion(SC)","Red_edge",701,0.134,17
"Asys_nofloracion(SC)","Red_edge",701,0.107,18
"Asys_nofloracion(SC)","Red_edge",701,0.099,19
"Asys_nofloracion(SC)","Red_edge",701,0.117,20
"Asys_nofloracion(SC)","Red_edge",702,0.102,1
"Asys_nofloracion(SC)","Red_edge",702,0.094,2
"Asys_nofloracion(SC)","Red_edge",702,0.115,3
"Asys_nofloracion(SC)","Red_edge",702,0.122,4
"Asys_nofloracion(SC)","Red_edge",702,0.096,5
"Asys_nofloracion(SC)","Red_edge",702,0.119,6
"Asys_nofloracion(SC)","Red_edge",702,0.083,7
"Asys_nofloracion(SC)","Red_edge",702,0.078,8
"Asys_nofloracion(SC)","Red_edge",702,0.088,9
"Asys_nofloracion(SC)","Red_edge",702,0.087,10
"Asys_nofloracion(SC)","Red_edge",702,0.153,11
"Asys_nofloracion(SC)","Red_edge",702,0.125,12
"Asys_nofloracion(SC)","Red_edge",702,0.162,13
"Asys_nofloracion(SC)","Red_edge",702,0.152,14
"Asys_nofloracion(SC)","Red_edge",702,0.154,15
"Asys_nofloracion(SC)","Red_edge",702,0.164,16
"Asys_nofloracion(SC)","Red_edge",702,0.143,17
"Asys_nofloracion(SC)","Red_edge",702,0.114,18
"Asys_nofloracion(SC)","Red_edge",702,0.105,19
"Asys_nofloracion(SC)","Red_edge",702,0.124,20
"Asys_nofloracion(SC)","Red_edge",703,0.108,1
"Asys_nofloracion(SC)","Red_edge",703,0.1,2
"Asys_nofloracion(SC)","Red_edge",703,0.121,3
"Asys_nofloracion(SC)","Red_edge",703,0.13,4
"Asys_nofloracion(SC)","Red_edge",703,0.102,5
"Asys_nofloracion(SC)","Red_edge",703,0.126,6
"Asys_nofloracion(SC)","Red_edge",703,0.088,7
"Asys_nofloracion(SC)","Red_edge",703,0.083,8
"Asys_nofloracion(SC)","Red_edge",703,0.094,9
"Asys_nofloracion(SC)","Red_edge",703,0.094,10
"Asys_nofloracion(SC)","Red_edge",703,0.162,11
"Asys_nofloracion(SC)","Red_edge",703,0.134,12
"Asys_nofloracion(SC)","Red_edge",703,0.171,13
"Asys_nofloracion(SC)","Red_edge",703,0.162,14
"Asys_nofloracion(SC)","Red_edge",703,0.164,15
"Asys_nofloracion(SC)","Red_edge",703,0.175,16
"Asys_nofloracion(SC)","Red_edge",703,0.151,17
"Asys_nofloracion(SC)","Red_edge",703,0.121,18
"Asys_nofloracion(SC)","Red_edge",703,0.112,19
"Asys_nofloracion(SC)","Red_edge",703,0.132,20
"Asys_nofloracion(SC)","Red_edge",704,0.113,1
"Asys_nofloracion(SC)","Red_edge",704,0.107,2
"Asys_nofloracion(SC)","Red_edge",704,0.127,3
"Asys_nofloracion(SC)","Red_edge",704,0.136,4
"Asys_nofloracion(SC)","Red_edge",704,0.107,5
"Asys_nofloracion(SC)","Red_edge",704,0.134,6
"Asys_nofloracion(SC)","Red_edge",704,0.093,7
"Asys_nofloracion(SC)","Red_edge",704,0.088,8
"Asys_nofloracion(SC)","Red_edge",704,0.1,9
"Asys_nofloracion(SC)","Red_edge",704,0.1,10
"Asys_nofloracion(SC)","Red_edge",704,0.17,11
"Asys_nofloracion(SC)","Red_edge",704,0.142,12
"Asys_nofloracion(SC)","Red_edge",704,0.181,13
"Asys_nofloracion(SC)","Red_edge",704,0.172,14
"Asys_nofloracion(SC)","Red_edge",704,0.173,15
"Asys_nofloracion(SC)","Red_edge",704,0.185,16
"Asys_nofloracion(SC)","Red_edge",704,0.16,17
"Asys_nofloracion(SC)","Red_edge",704,0.129,18
"Asys_nofloracion(SC)","Red_edge",704,0.118,19
"Asys_nofloracion(SC)","Red_edge",704,0.139,20
"Asys_nofloracion(SC)","Red_edge",705,0.119,1
"Asys_nofloracion(SC)","Red_edge",705,0.113,2
"Asys_nofloracion(SC)","Red_edge",705,0.133,3
"Asys_nofloracion(SC)","Red_edge",705,0.143,4
"Asys_nofloracion(SC)","Red_edge",705,0.113,5
"Asys_nofloracion(SC)","Red_edge",705,0.141,6
"Asys_nofloracion(SC)","Red_edge",705,0.097,7
"Asys_nofloracion(SC)","Red_edge",705,0.093,8
"Asys_nofloracion(SC)","Red_edge",705,0.107,9
"Asys_nofloracion(SC)","Red_edge",705,0.106,10
"Asys_nofloracion(SC)","Red_edge",705,0.179,11
"Asys_nofloracion(SC)","Red_edge",705,0.151,12
"Asys_nofloracion(SC)","Red_edge",705,0.19,13
"Asys_nofloracion(SC)","Red_edge",705,0.182,14
"Asys_nofloracion(SC)","Red_edge",705,0.183,15
"Asys_nofloracion(SC)","Red_edge",705,0.196,16
"Asys_nofloracion(SC)","Red_edge",705,0.168,17
"Asys_nofloracion(SC)","Red_edge",705,0.137,18
"Asys_nofloracion(SC)","Red_edge",705,0.124,19
"Asys_nofloracion(SC)","Red_edge",705,0.146,20
"Asys_nofloracion(SC)","Red_edge",706,0.125,1
"Asys_nofloracion(SC)","Red_edge",706,0.119,2
"Asys_nofloracion(SC)","Red_edge",706,0.139,3
"Asys_nofloracion(SC)","Red_edge",706,0.15,4
"Asys_nofloracion(SC)","Red_edge",706,0.118,5
"Asys_nofloracion(SC)","Red_edge",706,0.148,6
"Asys_nofloracion(SC)","Red_edge",706,0.102,7
"Asys_nofloracion(SC)","Red_edge",706,0.097,8
"Asys_nofloracion(SC)","Red_edge",706,0.113,9
"Asys_nofloracion(SC)","Red_edge",706,0.112,10
"Asys_nofloracion(SC)","Red_edge",706,0.188,11
"Asys_nofloracion(SC)","Red_edge",706,0.16,12
"Asys_nofloracion(SC)","Red_edge",706,0.2,13
"Asys_nofloracion(SC)","Red_edge",706,0.192,14
"Asys_nofloracion(SC)","Red_edge",706,0.193,15
"Asys_nofloracion(SC)","Red_edge",706,0.206,16
"Asys_nofloracion(SC)","Red_edge",706,0.177,17
"Asys_nofloracion(SC)","Red_edge",706,0.144,18
"Asys_nofloracion(SC)","Red_edge",706,0.131,19
"Asys_nofloracion(SC)","Red_edge",706,0.153,20
"Asys_nofloracion(SC)","Red_edge",707,0.13,1
"Asys_nofloracion(SC)","Red_edge",707,0.126,2
"Asys_nofloracion(SC)","Red_edge",707,0.144,3
"Asys_nofloracion(SC)","Red_edge",707,0.157,4
"Asys_nofloracion(SC)","Red_edge",707,0.123,5
"Asys_nofloracion(SC)","Red_edge",707,0.156,6
"Asys_nofloracion(SC)","Red_edge",707,0.106,7
"Asys_nofloracion(SC)","Red_edge",707,0.102,8
"Asys_nofloracion(SC)","Red_edge",707,0.12,9
"Asys_nofloracion(SC)","Red_edge",707,0.119,10
"Asys_nofloracion(SC)","Red_edge",707,0.196,11
"Asys_nofloracion(SC)","Red_edge",707,0.168,12
"Asys_nofloracion(SC)","Red_edge",707,0.209,13
"Asys_nofloracion(SC)","Red_edge",707,0.202,14
"Asys_nofloracion(SC)","Red_edge",707,0.202,15
"Asys_nofloracion(SC)","Red_edge",707,0.217,16
"Asys_nofloracion(SC)","Red_edge",707,0.185,17
"Asys_nofloracion(SC)","Red_edge",707,0.152,18
"Asys_nofloracion(SC)","Red_edge",707,0.137,19
"Asys_nofloracion(SC)","Red_edge",707,0.16,20
"Asys_nofloracion(SC)","Red_edge",708,0.136,1
"Asys_nofloracion(SC)","Red_edge",708,0.132,2
"Asys_nofloracion(SC)","Red_edge",708,0.15,3
"Asys_nofloracion(SC)","Red_edge",708,0.163,4
"Asys_nofloracion(SC)","Red_edge",708,0.129,5
"Asys_nofloracion(SC)","Red_edge",708,0.163,6
"Asys_nofloracion(SC)","Red_edge",708,0.111,7
"Asys_nofloracion(SC)","Red_edge",708,0.107,8
"Asys_nofloracion(SC)","Red_edge",708,0.126,9
"Asys_nofloracion(SC)","Red_edge",708,0.125,10
"Asys_nofloracion(SC)","Red_edge",708,0.204,11
"Asys_nofloracion(SC)","Red_edge",708,0.177,12
"Asys_nofloracion(SC)","Red_edge",708,0.218,13
"Asys_nofloracion(SC)","Red_edge",708,0.212,14
"Asys_nofloracion(SC)","Red_edge",708,0.212,15
"Asys_nofloracion(SC)","Red_edge",708,0.227,16
"Asys_nofloracion(SC)","Red_edge",708,0.193,17
"Asys_nofloracion(SC)","Red_edge",708,0.159,18
"Asys_nofloracion(SC)","Red_edge",708,0.143,19
"Asys_nofloracion(SC)","Red_edge",708,0.167,20
"Asys_nofloracion(SC)","Red_edge",709,0.141,1
"Asys_nofloracion(SC)","Red_edge",709,0.139,2
"Asys_nofloracion(SC)","Red_edge",709,0.155,3
"Asys_nofloracion(SC)","Red_edge",709,0.17,4
"Asys_nofloracion(SC)","Red_edge",709,0.134,5
"Asys_nofloracion(SC)","Red_edge",709,0.17,6
"Asys_nofloracion(SC)","Red_edge",709,0.115,7
"Asys_nofloracion(SC)","Red_edge",709,0.111,8
"Asys_nofloracion(SC)","Red_edge",709,0.133,9
"Asys_nofloracion(SC)","Red_edge",709,0.131,10
"Asys_nofloracion(SC)","Red_edge",709,0.213,11
"Asys_nofloracion(SC)","Red_edge",709,0.186,12
"Asys_nofloracion(SC)","Red_edge",709,0.227,13
"Asys_nofloracion(SC)","Red_edge",709,0.222,14
"Asys_nofloracion(SC)","Red_edge",709,0.221,15
"Asys_nofloracion(SC)","Red_edge",709,0.238,16
"Asys_nofloracion(SC)","Red_edge",709,0.202,17
"Asys_nofloracion(SC)","Red_edge",709,0.167,18
"Asys_nofloracion(SC)","Red_edge",709,0.149,19
"Asys_nofloracion(SC)","Red_edge",709,0.174,20
"Asys_nofloracion(SC)","Red_edge",710,0.147,1
"Asys_nofloracion(SC)","Red_edge",710,0.145,2
"Asys_nofloracion(SC)","Red_edge",710,0.16,3
"Asys_nofloracion(SC)","Red_edge",710,0.177,4
"Asys_nofloracion(SC)","Red_edge",710,0.139,5
"Asys_nofloracion(SC)","Red_edge",710,0.177,6
"Asys_nofloracion(SC)","Red_edge",710,0.12,7
"Asys_nofloracion(SC)","Red_edge",710,0.116,8
"Asys_nofloracion(SC)","Red_edge",710,0.139,9
"Asys_nofloracion(SC)","Red_edge",710,0.138,10
"Asys_nofloracion(SC)","Red_edge",710,0.221,11
"Asys_nofloracion(SC)","Red_edge",710,0.195,12
"Asys_nofloracion(SC)","Red_edge",710,0.236,13
"Asys_nofloracion(SC)","Red_edge",710,0.232,14
"Asys_nofloracion(SC)","Red_edge",710,0.231,15
"Asys_nofloracion(SC)","Red_edge",710,0.248,16
"Asys_nofloracion(SC)","Red_edge",710,0.21,17
"Asys_nofloracion(SC)","Red_edge",710,0.175,18
"Asys_nofloracion(SC)","Red_edge",710,0.155,19
"Asys_nofloracion(SC)","Red_edge",710,0.181,20
"Asys_nofloracion(SC)","Red_edge",711,0.152,1
"Asys_nofloracion(SC)","Red_edge",711,0.151,2
"Asys_nofloracion(SC)","Red_edge",711,0.165,3
"Asys_nofloracion(SC)","Red_edge",711,0.183,4
"Asys_nofloracion(SC)","Red_edge",711,0.144,5
"Asys_nofloracion(SC)","Red_edge",711,0.184,6
"Asys_nofloracion(SC)","Red_edge",711,0.124,7
"Asys_nofloracion(SC)","Red_edge",711,0.12,8
"Asys_nofloracion(SC)","Red_edge",711,0.146,9
"Asys_nofloracion(SC)","Red_edge",711,0.144,10
"Asys_nofloracion(SC)","Red_edge",711,0.229,11
"Asys_nofloracion(SC)","Red_edge",711,0.204,12
"Asys_nofloracion(SC)","Red_edge",711,0.246,13
"Asys_nofloracion(SC)","Red_edge",711,0.242,14
"Asys_nofloracion(SC)","Red_edge",711,0.24,15
"Asys_nofloracion(SC)","Red_edge",711,0.259,16
"Asys_nofloracion(SC)","Red_edge",711,0.218,17
"Asys_nofloracion(SC)","Red_edge",711,0.182,18
"Asys_nofloracion(SC)","Red_edge",711,0.162,19
"Asys_nofloracion(SC)","Red_edge",711,0.187,20
"Asys_nofloracion(SC)","Red_edge",712,0.157,1
"Asys_nofloracion(SC)","Red_edge",712,0.158,2
"Asys_nofloracion(SC)","Red_edge",712,0.17,3
"Asys_nofloracion(SC)","Red_edge",712,0.189,4
"Asys_nofloracion(SC)","Red_edge",712,0.15,5
"Asys_nofloracion(SC)","Red_edge",712,0.191,6
"Asys_nofloracion(SC)","Red_edge",712,0.128,7
"Asys_nofloracion(SC)","Red_edge",712,0.125,8
"Asys_nofloracion(SC)","Red_edge",712,0.152,9
"Asys_nofloracion(SC)","Red_edge",712,0.15,10
"Asys_nofloracion(SC)","Red_edge",712,0.238,11
"Asys_nofloracion(SC)","Red_edge",712,0.213,12
"Asys_nofloracion(SC)","Red_edge",712,0.255,13
"Asys_nofloracion(SC)","Red_edge",712,0.251,14
"Asys_nofloracion(SC)","Red_edge",712,0.25,15
"Asys_nofloracion(SC)","Red_edge",712,0.27,16
"Asys_nofloracion(SC)","Red_edge",712,0.226,17
"Asys_nofloracion(SC)","Red_edge",712,0.19,18
"Asys_nofloracion(SC)","Red_edge",712,0.168,19
"Asys_nofloracion(SC)","Red_edge",712,0.194,20
"Asys_nofloracion(SC)","Red_edge",713,0.162,1
"Asys_nofloracion(SC)","Red_edge",713,0.164,2
"Asys_nofloracion(SC)","Red_edge",713,0.175,3
"Asys_nofloracion(SC)","Red_edge",713,0.195,4
"Asys_nofloracion(SC)","Red_edge",713,0.154,5
"Asys_nofloracion(SC)","Red_edge",713,0.197,6
"Asys_nofloracion(SC)","Red_edge",713,0.132,7
"Asys_nofloracion(SC)","Red_edge",713,0.129,8
"Asys_nofloracion(SC)","Red_edge",713,0.158,9
"Asys_nofloracion(SC)","Red_edge",713,0.156,10
"Asys_nofloracion(SC)","Red_edge",713,0.246,11
"Asys_nofloracion(SC)","Red_edge",713,0.221,12
"Asys_nofloracion(SC)","Red_edge",713,0.264,13
"Asys_nofloracion(SC)","Red_edge",713,0.26,14
"Asys_nofloracion(SC)","Red_edge",713,0.259,15
"Asys_nofloracion(SC)","Red_edge",713,0.281,16
"Asys_nofloracion(SC)","Red_edge",713,0.234,17
"Asys_nofloracion(SC)","Red_edge",713,0.198,18
"Asys_nofloracion(SC)","Red_edge",713,0.174,19
"Asys_nofloracion(SC)","Red_edge",713,0.201,20
"Asys_nofloracion(SC)","Red_edge",714,0.166,1
"Asys_nofloracion(SC)","Red_edge",714,0.17,2
"Asys_nofloracion(SC)","Red_edge",714,0.179,3
"Asys_nofloracion(SC)","Red_edge",714,0.199,4
"Asys_nofloracion(SC)","Red_edge",714,0.159,5
"Asys_nofloracion(SC)","Red_edge",714,0.202,6
"Asys_nofloracion(SC)","Red_edge",714,0.135,7
"Asys_nofloracion(SC)","Red_edge",714,0.133,8
"Asys_nofloracion(SC)","Red_edge",714,0.164,9
"Asys_nofloracion(SC)","Red_edge",714,0.161,10
"Asys_nofloracion(SC)","Red_edge",714,0.253,11
"Asys_nofloracion(SC)","Red_edge",714,0.23,12
"Asys_nofloracion(SC)","Red_edge",714,0.273,13
"Asys_nofloracion(SC)","Red_edge",714,0.268,14
"Asys_nofloracion(SC)","Red_edge",714,0.269,15
"Asys_nofloracion(SC)","Red_edge",714,0.291,16
"Asys_nofloracion(SC)","Red_edge",714,0.242,17
"Asys_nofloracion(SC)","Red_edge",714,0.206,18
"Asys_nofloracion(SC)","Red_edge",714,0.181,19
"Asys_nofloracion(SC)","Red_edge",714,0.208,20
"Asys_nofloracion(SC)","Red_edge",715,0.169,1
"Asys_nofloracion(SC)","Red_edge",715,0.176,2
"Asys_nofloracion(SC)","Red_edge",715,0.183,3
"Asys_nofloracion(SC)","Red_edge",715,0.204,4
"Asys_nofloracion(SC)","Red_edge",715,0.163,5
"Asys_nofloracion(SC)","Red_edge",715,0.206,6
"Asys_nofloracion(SC)","Red_edge",715,0.138,7
"Asys_nofloracion(SC)","Red_edge",715,0.137,8
"Asys_nofloracion(SC)","Red_edge",715,0.169,9
"Asys_nofloracion(SC)","Red_edge",715,0.166,10
"Asys_nofloracion(SC)","Red_edge",715,0.261,11
"Asys_nofloracion(SC)","Red_edge",715,0.239,12
"Asys_nofloracion(SC)","Red_edge",715,0.283,13
"Asys_nofloracion(SC)","Red_edge",715,0.276,14
"Asys_nofloracion(SC)","Red_edge",715,0.279,15
"Asys_nofloracion(SC)","Red_edge",715,0.303,16
"Asys_nofloracion(SC)","Red_edge",715,0.251,17
"Asys_nofloracion(SC)","Red_edge",715,0.215,18
"Asys_nofloracion(SC)","Red_edge",715,0.188,19
"Asys_nofloracion(SC)","Red_edge",715,0.215,20
"Asys_nofloracion(SC)","Red_edge",716,0.173,1
"Asys_nofloracion(SC)","Red_edge",716,0.183,2
"Asys_nofloracion(SC)","Red_edge",716,0.188,3
"Asys_nofloracion(SC)","Red_edge",716,0.208,4
"Asys_nofloracion(SC)","Red_edge",716,0.168,5
"Asys_nofloracion(SC)","Red_edge",716,0.211,6
"Asys_nofloracion(SC)","Red_edge",716,0.141,7
"Asys_nofloracion(SC)","Red_edge",716,0.141,8
"Asys_nofloracion(SC)","Red_edge",716,0.175,9
"Asys_nofloracion(SC)","Red_edge",716,0.172,10
"Asys_nofloracion(SC)","Red_edge",716,0.27,11
"Asys_nofloracion(SC)","Red_edge",716,0.249,12
"Asys_nofloracion(SC)","Red_edge",716,0.294,13
"Asys_nofloracion(SC)","Red_edge",716,0.285,14
"Asys_nofloracion(SC)","Red_edge",716,0.291,15
"Asys_nofloracion(SC)","Red_edge",716,0.316,16
"Asys_nofloracion(SC)","Red_edge",716,0.261,17
"Asys_nofloracion(SC)","Red_edge",716,0.226,18
"Asys_nofloracion(SC)","Red_edge",716,0.196,19
"Asys_nofloracion(SC)","Red_edge",716,0.224,20
"Asys_nofloracion(SC)","Red_edge",717,0.178,1
"Asys_nofloracion(SC)","Red_edge",717,0.19,2
"Asys_nofloracion(SC)","Red_edge",717,0.193,3
"Asys_nofloracion(SC)","Red_edge",717,0.214,4
"Asys_nofloracion(SC)","Red_edge",717,0.174,5
"Asys_nofloracion(SC)","Red_edge",717,0.218,6
"Asys_nofloracion(SC)","Red_edge",717,0.145,7
"Asys_nofloracion(SC)","Red_edge",717,0.147,8
"Asys_nofloracion(SC)","Red_edge",717,0.182,9
"Asys_nofloracion(SC)","Red_edge",717,0.178,10
"Asys_nofloracion(SC)","Red_edge",717,0.28,11
"Asys_nofloracion(SC)","Red_edge",717,0.261,12
"Asys_nofloracion(SC)","Red_edge",717,0.307,13
"Asys_nofloracion(SC)","Red_edge",717,0.296,14
"Asys_nofloracion(SC)","Red_edge",717,0.304,15
"Asys_nofloracion(SC)","Red_edge",717,0.33,16
"Asys_nofloracion(SC)","Red_edge",717,0.272,17
"Asys_nofloracion(SC)","Red_edge",717,0.237,18
"Asys_nofloracion(SC)","Red_edge",717,0.205,19
"Asys_nofloracion(SC)","Red_edge",717,0.233,20
"Asys_nofloracion(SC)","Red_edge",718,0.184,1
"Asys_nofloracion(SC)","Red_edge",718,0.199,2
"Asys_nofloracion(SC)","Red_edge",718,0.198,3
"Asys_nofloracion(SC)","Red_edge",718,0.221,4
"Asys_nofloracion(SC)","Red_edge",718,0.18,5
"Asys_nofloracion(SC)","Red_edge",718,0.226,6
"Asys_nofloracion(SC)","Red_edge",718,0.151,7
"Asys_nofloracion(SC)","Red_edge",718,0.152,8
"Asys_nofloracion(SC)","Red_edge",718,0.191,9
"Asys_nofloracion(SC)","Red_edge",718,0.187,10
"Asys_nofloracion(SC)","Red_edge",718,0.291,11
"Asys_nofloracion(SC)","Red_edge",718,0.273,12
"Asys_nofloracion(SC)","Red_edge",718,0.319,13
"Asys_nofloracion(SC)","Red_edge",718,0.309,14
"Asys_nofloracion(SC)","Red_edge",718,0.317,15
"Asys_nofloracion(SC)","Red_edge",718,0.345,16
"Asys_nofloracion(SC)","Red_edge",718,0.283,17
"Asys_nofloracion(SC)","Red_edge",718,0.248,18
"Asys_nofloracion(SC)","Red_edge",718,0.213,19
"Asys_nofloracion(SC)","Red_edge",718,0.242,20
"Asys_nofloracion(SC)","Red_edge",719,0.191,1
"Asys_nofloracion(SC)","Red_edge",719,0.207,2
"Asys_nofloracion(SC)","Red_edge",719,0.204,3
"Asys_nofloracion(SC)","Red_edge",719,0.229,4
"Asys_nofloracion(SC)","Red_edge",719,0.187,5
"Asys_nofloracion(SC)","Red_edge",719,0.235,6
"Asys_nofloracion(SC)","Red_edge",719,0.156,7
"Asys_nofloracion(SC)","Red_edge",719,0.158,8
"Asys_nofloracion(SC)","Red_edge",719,0.2,9
"Asys_nofloracion(SC)","Red_edge",719,0.195,10
"Asys_nofloracion(SC)","Red_edge",719,0.301,11
"Asys_nofloracion(SC)","Red_edge",719,0.284,12
"Asys_nofloracion(SC)","Red_edge",719,0.33,13
"Asys_nofloracion(SC)","Red_edge",719,0.321,14
"Asys_nofloracion(SC)","Red_edge",719,0.327,15
"Asys_nofloracion(SC)","Red_edge",719,0.358,16
"Asys_nofloracion(SC)","Red_edge",719,0.292,17
"Asys_nofloracion(SC)","Red_edge",719,0.257,18
