"ID","Banda","nm","Reflectance","Repeticiones"
"Asys_nofloracion(SC)","Rojo",621,0.042,1
"Asys_nofloracion(SC)","Rojo",621,0.034,2
"Asys_nofloracion(SC)","Rojo",621,0.045,3
"Asys_nofloracion(SC)","Rojo",621,0.05,4
"Asys_nofloracion(SC)","Rojo",621,0.04,5
"Asys_nofloracion(SC)","Rojo",621,0.045,6
"Asys_nofloracion(SC)","Rojo",621,0.03,7
"Asys_nofloracion(SC)","Rojo",621,0.029,8
"Asys_nofloracion(SC)","Rojo",621,0.033,9
"Asys_nofloracion(SC)","Rojo",621,0.03,10
"Asys_nofloracion(SC)","Rojo",621,0.065,11
"Asys_nofloracion(SC)","Rojo",621,0.042,12
"Asys_nofloracion(SC)","Rojo",621,0.062,13
"Asys_nofloracion(SC)","Rojo",621,0.054,14
"Asys_nofloracion(SC)","Rojo",621,0.058,15
"Asys_nofloracion(SC)","Rojo",621,0.065,16
"Asys_nofloracion(SC)","Rojo",621,0.059,17
"Asys_nofloracion(SC)","Rojo",621,0.043,18
"Asys_nofloracion(SC)","Rojo",621,0.038,19
"Asys_nofloracion(SC)","Rojo",621,0.048,20
"Asys_nofloracion(SC)","Rojo",622,0.041,1
"Asys_nofloracion(SC)","Rojo",622,0.034,2
"Asys_nofloracion(SC)","Rojo",622,0.045,3
"Asys_nofloracion(SC)","Rojo",622,0.05,4
"Asys_nofloracion(SC)","Rojo",622,0.04,5
"Asys_nofloracion(SC)","Rojo",622,0.044,6
"Asys_nofloracion(SC)","Rojo",622,0.029,7
"Asys_nofloracion(SC)","Rojo",622,0.029,8
"Asys_nofloracion(SC)","Rojo",622,0.033,9
"Asys_nofloracion(SC)","Rojo",622,0.03,10
"Asys_nofloracion(SC)","Rojo",622,0.065,11
"Asys_nofloracion(SC)","Rojo",622,0.041,12
"Asys_nofloracion(SC)","Rojo",622,0.062,13
"Asys_nofloracion(SC)","Rojo",622,0.053,14
"Asys_nofloracion(SC)","Rojo",622,0.058,15
"Asys_nofloracion(SC)","Rojo",622,0.065,16
"Asys_nofloracion(SC)","Rojo",622,0.059,17
"Asys_nofloracion(SC)","Rojo",622,0.043,18
"Asys_nofloracion(SC)","Rojo",622,0.038,19
"Asys_nofloracion(SC)","Rojo",622,0.047,20
"Asys_nofloracion(SC)","Rojo",623,0.041,1
"Asys_nofloracion(SC)","Rojo",623,0.034,2
"Asys_nofloracion(SC)","Rojo",623,0.044,3
"Asys_nofloracion(SC)","Rojo",623,0.05,4
"Asys_nofloracion(SC)","Rojo",623,0.039,5
"Asys_nofloracion(SC)","Rojo",623,0.044,6
"Asys_nofloracion(SC)","Rojo",623,0.029,7
"Asys_nofloracion(SC)","Rojo",623,0.029,8
"Asys_nofloracion(SC)","Rojo",623,0.033,9
"Asys_nofloracion(SC)","Rojo",623,0.03,10
"Asys_nofloracion(SC)","Rojo",623,0.065,11
"Asys_nofloracion(SC)","Rojo",623,0.041,12
"Asys_nofloracion(SC)","Rojo",623,0.061,13
"Asys_nofloracion(SC)","Rojo",623,0.053,14
"Asys_nofloracion(SC)","Rojo",623,0.057,15
"Asys_nofloracion(SC)","Rojo",623,0.065,16
"Asys_nofloracion(SC)","Rojo",623,0.058,17
"Asys_nofloracion(SC)","Rojo",623,0.043,18
"Asys_nofloracion(SC)","Rojo",623,0.037,19
"Asys_nofloracion(SC)","Rojo",623,0.047,20
"Asys_nofloracion(SC)","Rojo",624,0.041,1
"Asys_nofloracion(SC)","Rojo",624,0.034,2
"Asys_nofloracion(SC)","Rojo",624,0.044,3
"Asys_nofloracion(SC)","Rojo",624,0.049,4
"Asys_nofloracion(SC)","Rojo",624,0.039,5
"Asys_nofloracion(SC)","Rojo",624,0.044,6
"Asys_nofloracion(SC)","Rojo",624,0.029,7
"Asys_nofloracion(SC)","Rojo",624,0.029,8
"Asys_nofloracion(SC)","Rojo",624,0.033,9
"Asys_nofloracion(SC)","Rojo",624,0.03,10
"Asys_nofloracion(SC)","Rojo",624,0.065,11
"Asys_nofloracion(SC)","Rojo",624,0.041,12
"Asys_nofloracion(SC)","Rojo",624,0.061,13
"Asys_nofloracion(SC)","Rojo",624,0.053,14
"Asys_nofloracion(SC)","Rojo",624,0.057,15
"Asys_nofloracion(SC)","Rojo",624,0.065,16
"Asys_nofloracion(SC)","Rojo",624,0.058,17
"Asys_nofloracion(SC)","Rojo",624,0.043,18
"Asys_nofloracion(SC)","Rojo",624,0.037,19
"Asys_nofloracion(SC)","Rojo",624,0.047,20
"Asys_nofloracion(SC)","Rojo",625,0.041,1
"Asys_nofloracion(SC)","Rojo",625,0.034,2
"Asys_nofloracion(SC)","Rojo",625,0.044,3
"Asys_nofloracion(SC)","Rojo",625,0.049,4
"Asys_nofloracion(SC)","Rojo",625,0.039,5
"Asys_nofloracion(SC)","Rojo",625,0.044,6
"Asys_nofloracion(SC)","Rojo",625,0.029,7
"Asys_nofloracion(SC)","Rojo",625,0.029,8
"Asys_nofloracion(SC)","Rojo",625,0.032,9
"Asys_nofloracion(SC)","Rojo",625,0.03,10
"Asys_nofloracion(SC)","Rojo",625,0.064,11
"Asys_nofloracion(SC)","Rojo",625,0.041,12
"Asys_nofloracion(SC)","Rojo",625,0.061,13
"Asys_nofloracion(SC)","Rojo",625,0.053,14
"Asys_nofloracion(SC)","Rojo",625,0.057,15
"Asys_nofloracion(SC)","Rojo",625,0.064,16
"Asys_nofloracion(SC)","Rojo",625,0.058,17
