"ID","Banda","nm","Reflectance","Repeticiones"
"Asys_nofloracion(SC)","Verde",496,0.026,1
"Asys_nofloracion(SC)","Verde",496,0.021,2
"Asys_nofloracion(SC)","Verde",496,0.024,3
"Asys_nofloracion(SC)","Verde",496,0.03,4
"Asys_nofloracion(SC)","Verde",496,0.028,5
"Asys_nofloracion(SC)","Verde",496,0.029,6
"Asys_nofloracion(SC)","Verde",496,0.018,7
"Asys_nofloracion(SC)","Verde",496,0.019,8
"Asys_nofloracion(SC)","Verde",496,0.024,9
"Asys_nofloracion(SC)","Verde",496,0.021,10
"Asys_nofloracion(SC)","Verde",496,0.043,11
"Asys_nofloracion(SC)","Verde",496,0.027,12
"Asys_nofloracion(SC)","Verde",496,0.039,13
"Asys_nofloracion(SC)","Verde",496,0.031,14
"Asys_nofloracion(SC)","Verde",496,0.038,15
"Asys_nofloracion(SC)","Verde",496,0.045,16
"Asys_nofloracion(SC)","Verde",496,0.04,17
"Asys_nofloracion(SC)","Verde",496,0.03,18
"Asys_nofloracion(SC)","Verde",496,0.024,19
"Asys_nofloracion(SC)","Verde",496,0.031,20
"Asys_nofloracion(SC)","Verde",497,0.026,1
"Asys_nofloracion(SC)","Verde",497,0.021,2
"Asys_nofloracion(SC)","Verde",497,0.024,3
"Asys_nofloracion(SC)","Verde",497,0.031,4
"Asys_nofloracion(SC)","Verde",497,0.029,5
"Asys_nofloracion(SC)","Verde",497,0.029,6
"Asys_nofloracion(SC)","Verde",497,0.019,7
"Asys_nofloracion(SC)","Verde",497,0.02,8
"Asys_nofloracion(SC)","Verde",497,0.024,9
"Asys_nofloracion(SC)","Verde",497,0.021,10
"Asys_nofloracion(SC)","Verde",497,0.043,11
"Asys_nofloracion(SC)","Verde",497,0.027,12
"Asys_nofloracion(SC)","Verde",497,0.039,13
"Asys_nofloracion(SC)","Verde",497,0.031,14
"Asys_nofloracion(SC)","Verde",497,0.038,15
"Asys_nofloracion(SC)","Verde",497,0.046,16
"Asys_nofloracion(SC)","Verde",497,0.041,17
"Asys_nofloracion(SC)","Verde",497,0.03,18
"Asys_nofloracion(SC)","Verde",497,0.025,19
