"ID","Banda","nm","Reflectance","Repeticiones"
"Pina_26meses(SC)","Azul",451,0.019,1
"Pina_26meses(SC)","Azul",451,0.013,2
"Pina_26meses(SC)","Azul",451,0.023,3
"Pina_26meses(SC)","Azul",451,0.017,4
"Pina_26meses(SC)","Azul",451,0.016,5
"Pina_26meses(SC)","Azul",451,0.012,6
"Pina_26meses(SC)","Azul",451,0.011,7
"Pina_26meses(SC)","Azul",451,0.014,8
"Pina_26meses(SC)","Azul",451,0.014,9
"Pina_26meses(SC)","Azul",451,0.015,10
"Pina_26meses(SC)","Azul",451,0.015,11
"Pina_26meses(SC)","Azul",451,0.013,12
"Pina_26meses(SC)","Azul",451,0.013,13
"Pina_26meses(SC)","Azul",451,0.014,14
"Pina_26meses(SC)","Azul",451,0.024,15
"Pina_26meses(SC)","Azul",451,0.015,16
"Pina_26meses(SC)","Azul",451,0.019,17
"Pina_26meses(SC)","Azul",451,0.016,18
"Pina_26meses(SC)","Azul",451,0.017,19
"Pina_26meses(SC)","Azul",451,0.016,20
"Pina_26meses(SC)","Azul",452,0.02,1
"Pina_26meses(SC)","Azul",452,0.013,2
"Pina_26meses(SC)","Azul",452,0.024,3
"Pina_26meses(SC)","Azul",452,0.017,4
"Pina_26meses(SC)","Azul",452,0.016,5
"Pina_26meses(SC)","Azul",452,0.012,6
"Pina_26meses(SC)","Azul",452,0.011,7
"Pina_26meses(SC)","Azul",452,0.014,8
"Pina_26meses(SC)","Azul",452,0.014,9
"Pina_26meses(SC)","Azul",452,0.015,10
"Pina_26meses(SC)","Azul",452,0.016,11
"Pina_26meses(SC)","Azul",452,0.013,12
"Pina_26meses(SC)","Azul",452,0.013,13
"Pina_26meses(SC)","Azul",452,0.014,14
"Pina_26meses(SC)","Azul",452,0.024,15
"Pina_26meses(SC)","Azul",452,0.015,16
"Pina_26meses(SC)","Azul",452,0.019,17
"Pina_26meses(SC)","Azul",452,0.016,18
"Pina_26meses(SC)","Azul",452,0.017,19
"Pina_26meses(SC)","Azul",452,0.016,20
"Pina_26meses(SC)","Azul",453,0.02,1
"Pina_26meses(SC)","Azul",453,0.014,2
"Pina_26meses(SC)","Azul",453,0.024,3
"Pina_26meses(SC)","Azul",453,0.017,4
"Pina_26meses(SC)","Azul",453,0.016,5
"Pina_26meses(SC)","Azul",453,0.012,6
"Pina_26meses(SC)","Azul",453,0.011,7
"Pina_26meses(SC)","Azul",453,0.014,8
"Pina_26meses(SC)","Azul",453,0.014,9
"Pina_26meses(SC)","Azul",453,0.015,10
"Pina_26meses(SC)","Azul",453,0.016,11
"Pina_26meses(SC)","Azul",453,0.013,12
"Pina_26meses(SC)","Azul",453,0.013,13
"Pina_26meses(SC)","Azul",453,0.014,14
"Pina_26meses(SC)","Azul",453,0.024,15
"Pina_26meses(SC)","Azul",453,0.015,16
"Pina_26meses(SC)","Azul",453,0.019,17
"Pina_26meses(SC)","Azul",453,0.016,18
"Pina_26meses(SC)","Azul",453,0.017,19
"Pina_26meses(SC)","Azul",453,0.016,20
"Pina_26meses(SC)","Azul",454,0.02,1
"Pina_26meses(SC)","Azul",454,0.014,2
"Pina_26meses(SC)","Azul",454,0.024,3
"Pina_26meses(SC)","Azul",454,0.017,4
"Pina_26meses(SC)","Azul",454,0.017,5
"Pina_26meses(SC)","Azul",454,0.012,6
"Pina_26meses(SC)","Azul",454,0.011,7
"Pina_26meses(SC)","Azul",454,0.014,8
"Pina_26meses(SC)","Azul",454,0.014,9
"Pina_26meses(SC)","Azul",454,0.015,10
"Pina_26meses(SC)","Azul",454,0.016,11
"Pina_26meses(SC)","Azul",454,0.013,12
"Pina_26meses(SC)","Azul",454,0.013,13
"Pina_26meses(SC)","Azul",454,0.014,14
"Pina_26meses(SC)","Azul",454,0.024,15
"Pina_26meses(SC)","Azul",454,0.015,16
"Pina_26meses(SC)","Azul",454,0.019,17
"Pina_26meses(SC)","Azul",454,0.016,18
"Pina_26meses(SC)","Azul",454,0.017,19
"Pina_26meses(SC)","Azul",454,0.016,20
"Pina_26meses(SC)","Azul",455,0.02,1
"Pina_26meses(SC)","Azul",455,0.014,2
"Pina_26meses(SC)","Azul",455,0.024,3
"Pina_26meses(SC)","Azul",455,0.017,4
"Pina_26meses(SC)","Azul",455,0.017,5
"Pina_26meses(SC)","Azul",455,0.012,6
"Pina_26meses(SC)","Azul",455,0.011,7
"Pina_26meses(SC)","Azul",455,0.015,8
"Pina_26meses(SC)","Azul",455,0.014,9
"Pina_26meses(SC)","Azul",455,0.015,10
"Pina_26meses(SC)","Azul",455,0.016,11
"Pina_26meses(SC)","Azul",455,0.013,12
"Pina_26meses(SC)","Azul",455,0.013,13
"Pina_26meses(SC)","Azul",455,0.015,14
"Pina_26meses(SC)","Azul",455,0.025,15
"Pina_26meses(SC)","Azul",455,0.015,16
"Pina_26meses(SC)","Azul",455,0.019,17
"Pina_26meses(SC)","Azul",455,0.016,18
"Pina_26meses(SC)","Azul",455,0.017,19
"Pina_26meses(SC)","Azul",455,0.016,20
"Pina_26meses(SC)","Azul",456,0.02,1
"Pina_26meses(SC)","Azul",456,0.014,2
"Pina_26meses(SC)","Azul",456,0.024,3
"Pina_26meses(SC)","Azul",456,0.017,4
"Pina_26meses(SC)","Azul",456,0.017,5
"Pina_26meses(SC)","Azul",456,0.012,6
"Pina_26meses(SC)","Azul",456,0.011,7
"Pina_26meses(SC)","Azul",456,0.015,8
"Pina_26meses(SC)","Azul",456,0.014,9
"Pina_26meses(SC)","Azul",456,0.015,10
"Pina_26meses(SC)","Azul",456,0.016,11
"Pina_26meses(SC)","Azul",456,0.013,12
"Pina_26meses(SC)","Azul",456,0.013,13
"Pina_26meses(SC)","Azul",456,0.015,14
"Pina_26meses(SC)","Azul",456,0.025,15
"Pina_26meses(SC)","Azul",456,0.015,16
"Pina_26meses(SC)","Azul",456,0.019,17
"Pina_26meses(SC)","Azul",456,0.016,18
"Pina_26meses(SC)","Azul",456,0.017,19
"Pina_26meses(SC)","Azul",456,0.016,20
"Pina_26meses(SC)","Azul",457,0.02,1
"Pina_26meses(SC)","Azul",457,0.014,2
"Pina_26meses(SC)","Azul",457,0.024,3
"Pina_26meses(SC)","Azul",457,0.017,4
"Pina_26meses(SC)","Azul",457,0.017,5
"Pina_26meses(SC)","Azul",457,0.013,6
"Pina_26meses(SC)","Azul",457,0.011,7
"Pina_26meses(SC)","Azul",457,0.015,8
"Pina_26meses(SC)","Azul",457,0.014,9
"Pina_26meses(SC)","Azul",457,0.016,10
"Pina_26meses(SC)","Azul",457,0.016,11
"Pina_26meses(SC)","Azul",457,0.013,12
"Pina_26meses(SC)","Azul",457,0.013,13
"Pina_26meses(SC)","Azul",457,0.015,14
"Pina_26meses(SC)","Azul",457,0.025,15
"Pina_26meses(SC)","Azul",457,0.015,16
"Pina_26meses(SC)","Azul",457,0.019,17
"Pina_26meses(SC)","Azul",457,0.016,18
"Pina_26meses(SC)","Azul",457,0.017,19
"Pina_26meses(SC)","Azul",457,0.016,20
"Pina_26meses(SC)","Azul",458,0.02,1
"Pina_26meses(SC)","Azul",458,0.014,2
"Pina_26meses(SC)","Azul",458,0.024,3
"Pina_26meses(SC)","Azul",458,0.017,4
"Pina_26meses(SC)","Azul",458,0.017,5
"Pina_26meses(SC)","Azul",458,0.013,6
"Pina_26meses(SC)","Azul",458,0.011,7
"Pina_26meses(SC)","Azul",458,0.015,8
"Pina_26meses(SC)","Azul",458,0.014,9
"Pina_26meses(SC)","Azul",458,0.016,10
"Pina_26meses(SC)","Azul",458,0.016,11
"Pina_26meses(SC)","Azul",458,0.013,12
"Pina_26meses(SC)","Azul",458,0.013,13
"Pina_26meses(SC)","Azul",458,0.015,14
"Pina_26meses(SC)","Azul",458,0.025,15
"Pina_26meses(SC)","Azul",458,0.015,16
"Pina_26meses(SC)","Azul",458,0.019,17
"Pina_26meses(SC)","Azul",458,0.016,18
"Pina_26meses(SC)","Azul",458,0.017,19
"Pina_26meses(SC)","Azul",458,0.016,20
"Pina_26meses(SC)","Azul",459,0.02,1
"Pina_26meses(SC)","Azul",459,0.014,2
"Pina_26meses(SC)","Azul",459,0.024,3
"Pina_26meses(SC)","Azul",459,0.017,4
"Pina_26meses(SC)","Azul",459,0.017,5
"Pina_26meses(SC)","Azul",459,0.013,6
"Pina_26meses(SC)","Azul",459,0.011,7
"Pina_26meses(SC)","Azul",459,0.015,8
"Pina_26meses(SC)","Azul",459,0.014,9
"Pina_26meses(SC)","Azul",459,0.016,10
"Pina_26meses(SC)","Azul",459,0.016,11
"Pina_26meses(SC)","Azul",459,0.013,12
"Pina_26meses(SC)","Azul",459,0.013,13
"Pina_26meses(SC)","Azul",459,0.015,14
"Pina_26meses(SC)","Azul",459,0.025,15
"Pina_26meses(SC)","Azul",459,0.015,16
"Pina_26meses(SC)","Azul",459,0.019,17
"Pina_26meses(SC)","Azul",459,0.016,18
"Pina_26meses(SC)","Azul",459,0.017,19
"Pina_26meses(SC)","Azul",459,0.016,20
"Pina_26meses(SC)","Azul",460,0.02,1
"Pina_26meses(SC)","Azul",460,0.014,2
"Pina_26meses(SC)","Azul",460,0.024,3
"Pina_26meses(SC)","Azul",460,0.017,4
"Pina_26meses(SC)","Azul",460,0.017,5
"Pina_26meses(SC)","Azul",460,0.013,6
"Pina_26meses(SC)","Azul",460,0.011,7
"Pina_26meses(SC)","Azul",460,0.015,8
"Pina_26meses(SC)","Azul",460,0.014,9
"Pina_26meses(SC)","Azul",460,0.016,10
"Pina_26meses(SC)","Azul",460,0.016,11
"Pina_26meses(SC)","Azul",460,0.013,12
"Pina_26meses(SC)","Azul",460,0.013,13
"Pina_26meses(SC)","Azul",460,0.015,14
"Pina_26meses(SC)","Azul",460,0.025,15
"Pina_26meses(SC)","Azul",460,0.015,16
"Pina_26meses(SC)","Azul",460,0.019,17
"Pina_26meses(SC)","Azul",460,0.016,18
"Pina_26meses(SC)","Azul",460,0.017,19
"Pina_26meses(SC)","Azul",460,0.016,20
"Pina_26meses(SC)","Azul",461,0.02,1
"Pina_26meses(SC)","Azul",461,0.014,2
"Pina_26meses(SC)","Azul",461,0.024,3
"Pina_26meses(SC)","Azul",461,0.017,4
"Pina_26meses(SC)","Azul",461,0.017,5
"Pina_26meses(SC)","Azul",461,0.013,6
"Pina_26meses(SC)","Azul",461,0.011,7
"Pina_26meses(SC)","Azul",461,0.015,8
"Pina_26meses(SC)","Azul",461,0.014,9
"Pina_26meses(SC)","Azul",461,0.016,10
"Pina_26meses(SC)","Azul",461,0.016,11
"Pina_26meses(SC)","Azul",461,0.013,12
"Pina_26meses(SC)","Azul",461,0.013,13
"Pina_26meses(SC)","Azul",461,0.015,14
"Pina_26meses(SC)","Azul",461,0.025,15
"Pina_26meses(SC)","Azul",461,0.015,16
"Pina_26meses(SC)","Azul",461,0.019,17
"Pina_26meses(SC)","Azul",461,0.016,18
"Pina_26meses(SC)","Azul",461,0.017,19
"Pina_26meses(SC)","Azul",461,0.016,20
"Pina_26meses(SC)","Azul",462,0.02,1
"Pina_26meses(SC)","Azul",462,0.014,2
"Pina_26meses(SC)","Azul",462,0.024,3
"Pina_26meses(SC)","Azul",462,0.017,4
"Pina_26meses(SC)","Azul",462,0.017,5
"Pina_26meses(SC)","Azul",462,0.013,6
"Pina_26meses(SC)","Azul",462,0.011,7
"Pina_26meses(SC)","Azul",462,0.015,8
"Pina_26meses(SC)","Azul",462,0.014,9
"Pina_26meses(SC)","Azul",462,0.016,10
"Pina_26meses(SC)","Azul",462,0.016,11
"Pina_26meses(SC)","Azul",462,0.013,12
"Pina_26meses(SC)","Azul",462,0.013,13
"Pina_26meses(SC)","Azul",462,0.015,14
"Pina_26meses(SC)","Azul",462,0.025,15
"Pina_26meses(SC)","Azul",462,0.015,16
"Pina_26meses(SC)","Azul",462,0.019,17
"Pina_26meses(SC)","Azul",462,0.016,18
"Pina_26meses(SC)","Azul",462,0.017,19
"Pina_26meses(SC)","Azul",462,0.016,20
"Pina_26meses(SC)","Azul",463,0.02,1
"Pina_26meses(SC)","Azul",463,0.014,2
"Pina_26meses(SC)","Azul",463,0.024,3
"Pina_26meses(SC)","Azul",463,0.017,4
