"ID","Banda","nm","Reflectance","Repeticiones"
"Pina_26meses(SC)","Red_edge",700,0.073,1
"Pina_26meses(SC)","Red_edge",700,0.067,2
"Pina_26meses(SC)","Red_edge",700,0.091,3
"Pina_26meses(SC)","Red_edge",700,0.057,4
"Pina_26meses(SC)","Red_edge",700,0.058,5
"Pina_26meses(SC)","Red_edge",700,0.052,6
"Pina_26meses(SC)","Red_edge",700,0.044,7
"Pina_26meses(SC)","Red_edge",700,0.051,8
"Pina_26meses(SC)","Red_edge",700,0.059,9
"Pina_26meses(SC)","Red_edge",700,0.055,10
"Pina_26meses(SC)","Red_edge",700,0.054,11
"Pina_26meses(SC)","Red_edge",700,0.053,12
"Pina_26meses(SC)","Red_edge",700,0.044,13
"Pina_26meses(SC)","Red_edge",700,0.06,14
"Pina_26meses(SC)","Red_edge",700,0.074,15
"Pina_26meses(SC)","Red_edge",700,0.069,16
"Pina_26meses(SC)","Red_edge",700,0.056,17
"Pina_26meses(SC)","Red_edge",700,0.054,18
"Pina_26meses(SC)","Red_edge",700,0.062,19
"Pina_26meses(SC)","Red_edge",700,0.059,20
"Pina_26meses(SC)","Red_edge",701,0.078,1
"Pina_26meses(SC)","Red_edge",701,0.073,2
"Pina_26meses(SC)","Red_edge",701,0.098,3
"Pina_26meses(SC)","Red_edge",701,0.061,4
"Pina_26meses(SC)","Red_edge",701,0.062,5
"Pina_26meses(SC)","Red_edge",701,0.057,6
"Pina_26meses(SC)","Red_edge",701,0.047,7
"Pina_26meses(SC)","Red_edge",701,0.055,8
"Pina_26meses(SC)","Red_edge",701,0.063,9
"Pina_26meses(SC)","Red_edge",701,0.059,10
"Pina_26meses(SC)","Red_edge",701,0.058,11
"Pina_26meses(SC)","Red_edge",701,0.057,12
"Pina_26meses(SC)","Red_edge",701,0.048,13
"Pina_26meses(SC)","Red_edge",701,0.065,14
"Pina_26meses(SC)","Red_edge",701,0.078,15
"Pina_26meses(SC)","Red_edge",701,0.074,16
"Pina_26meses(SC)","Red_edge",701,0.059,17
"Pina_26meses(SC)","Red_edge",701,0.058,18
"Pina_26meses(SC)","Red_edge",701,0.067,19
