"ID","Banda","nm","Reflectance","Repeticiones"
"Pina_26meses(SC)","Verde",496,0.023,1
"Pina_26meses(SC)","Verde",496,0.016,2
"Pina_26meses(SC)","Verde",496,0.027,3
"Pina_26meses(SC)","Verde",496,0.019,4
"Pina_26meses(SC)","Verde",496,0.019,5
"Pina_26meses(SC)","Verde",496,0.015,6
"Pina_26meses(SC)","Verde",496,0.013,7
"Pina_26meses(SC)","Verde",496,0.016,8
"Pina_26meses(SC)","Verde",496,0.017,9
"Pina_26meses(SC)","Verde",496,0.018,10
"Pina_26meses(SC)","Verde",496,0.018,11
"Pina_26meses(SC)","Verde",496,0.015,12
"Pina_26meses(SC)","Verde",496,0.014,13
"Pina_26meses(SC)","Verde",496,0.017,14
"Pina_26meses(SC)","Verde",496,0.028,15
"Pina_26meses(SC)","Verde",496,0.018,16
"Pina_26meses(SC)","Verde",496,0.022,17
"Pina_26meses(SC)","Verde",496,0.018,18
"Pina_26meses(SC)","Verde",496,0.019,19
"Pina_26meses(SC)","Verde",496,0.018,20
"Pina_26meses(SC)","Verde",497,0.023,1
"Pina_26meses(SC)","Verde",497,0.017,2
"Pina_26meses(SC)","Verde",497,0.028,3
"Pina_26meses(SC)","Verde",497,0.019,4
"Pina_26meses(SC)","Verde",497,0.019,5
"Pina_26meses(SC)","Verde",497,0.015,6
"Pina_26meses(SC)","Verde",497,0.013,7
"Pina_26meses(SC)","Verde",497,0.016,8
"Pina_26meses(SC)","Verde",497,0.017,9
"Pina_26meses(SC)","Verde",497,0.018,10
"Pina_26meses(SC)","Verde",497,0.018,11
"Pina_26meses(SC)","Verde",497,0.015,12
"Pina_26meses(SC)","Verde",497,0.015,13
"Pina_26meses(SC)","Verde",497,0.017,14
"Pina_26meses(SC)","Verde",497,0.028,15
"Pina_26meses(SC)","Verde",497,0.018,16
"Pina_26meses(SC)","Verde",497,0.022,17
"Pina_26meses(SC)","Verde",497,0.018,18
"Pina_26meses(SC)","Verde",497,0.02,19
"Pina_26meses(SC)","Verde",497,0.018,20
"Pina_26meses(SC)","Verde",498,0.024,1
"Pina_26meses(SC)","Verde",498,0.017,2
"Pina_26meses(SC)","Verde",498,0.028,3
"Pina_26meses(SC)","Verde",498,0.02,4
"Pina_26meses(SC)","Verde",498,0.019,5
"Pina_26meses(SC)","Verde",498,0.015,6
"Pina_26meses(SC)","Verde",498,0.013,7
"Pina_26meses(SC)","Verde",498,0.017,8
"Pina_26meses(SC)","Verde",498,0.017,9
"Pina_26meses(SC)","Verde",498,0.018,10
"Pina_26meses(SC)","Verde",498,0.018,11
"Pina_26meses(SC)","Verde",498,0.015,12
"Pina_26meses(SC)","Verde",498,0.015,13
"Pina_26meses(SC)","Verde",498,0.017,14
"Pina_26meses(SC)","Verde",498,0.028,15
"Pina_26meses(SC)","Verde",498,0.019,16
"Pina_26meses(SC)","Verde",498,0.022,17
"Pina_26meses(SC)","Verde",498,0.019,18
"Pina_26meses(SC)","Verde",498,0.02,19
"Pina_26meses(SC)","Verde",498,0.019,20
"Pina_26meses(SC)","Verde",499,0.024,1
"Pina_26meses(SC)","Verde",499,0.017,2
"Pina_26meses(SC)","Verde",499,0.028,3
"Pina_26meses(SC)","Verde",499,0.02,4
"Pina_26meses(SC)","Verde",499,0.02,5
"Pina_26meses(SC)","Verde",499,0.015,6
"Pina_26meses(SC)","Verde",499,0.014,7
"Pina_26meses(SC)","Verde",499,0.017,8
"Pina_26meses(SC)","Verde",499,0.017,9
"Pina_26meses(SC)","Verde",499,0.019,10
"Pina_26meses(SC)","Verde",499,0.018,11
"Pina_26meses(SC)","Verde",499,0.016,12
"Pina_26meses(SC)","Verde",499,0.015,13
"Pina_26meses(SC)","Verde",499,0.018,14
"Pina_26meses(SC)","Verde",499,0.029,15
"Pina_26meses(SC)","Verde",499,0.019,16
"Pina_26meses(SC)","Verde",499,0.022,17
"Pina_26meses(SC)","Verde",499,0.019,18
"Pina_26meses(SC)","Verde",499,0.02,19
"Pina_26meses(SC)","Verde",499,0.019,20
"Pina_26meses(SC)","Verde",500,0.024,1
"Pina_26meses(SC)","Verde",500,0.018,2
"Pina_26meses(SC)","Verde",500,0.029,3
"Pina_26meses(SC)","Verde",500,0.02,4
"Pina_26meses(SC)","Verde",500,0.02,5
"Pina_26meses(SC)","Verde",500,0.016,6
"Pina_26meses(SC)","Verde",500,0.014,7
"Pina_26meses(SC)","Verde",500,0.017,8
"Pina_26meses(SC)","Verde",500,0.018,9
"Pina_26meses(SC)","Verde",500,0.019,10
"Pina_26meses(SC)","Verde",500,0.018,11
"Pina_26meses(SC)","Verde",500,0.016,12
"Pina_26meses(SC)","Verde",500,0.015,13
"Pina_26meses(SC)","Verde",500,0.018,14
"Pina_26meses(SC)","Verde",500,0.029,15
"Pina_26meses(SC)","Verde",500,0.019,16
"Pina_26meses(SC)","Verde",500,0.022,17
"Pina_26meses(SC)","Verde",500,0.019,18
"Pina_26meses(SC)","Verde",500,0.02,19
"Pina_26meses(SC)","Verde",500,0.019,20
"Pina_26meses(SC)","Verde",501,0.025,1
"Pina_26meses(SC)","Verde",501,0.018,2
"Pina_26meses(SC)","Verde",501,0.029,3
"Pina_26meses(SC)","Verde",501,0.021,4
"Pina_26meses(SC)","Verde",501,0.02,5
"Pina_26meses(SC)","Verde",501,0.016,6
"Pina_26meses(SC)","Verde",501,0.014,7
"Pina_26meses(SC)","Verde",501,0.017,8
"Pina_26meses(SC)","Verde",501,0.018,9
"Pina_26meses(SC)","Verde",501,0.019,10
"Pina_26meses(SC)","Verde",501,0.019,11
"Pina_26meses(SC)","Verde",501,0.016,12
"Pina_26meses(SC)","Verde",501,0.015,13
"Pina_26meses(SC)","Verde",501,0.018,14
"Pina_26meses(SC)","Verde",501,0.029,15
"Pina_26meses(SC)","Verde",501,0.02,16
"Pina_26meses(SC)","Verde",501,0.023,17
"Pina_26meses(SC)","Verde",501,0.019,18
"Pina_26meses(SC)","Verde",501,0.021,19
"Pina_26meses(SC)","Verde",501,0.02,20
"Pina_26meses(SC)","Verde",502,0.025,1
"Pina_26meses(SC)","Verde",502,0.019,2
"Pina_26meses(SC)","Verde",502,0.03,3
"Pina_26meses(SC)","Verde",502,0.021,4
"Pina_26meses(SC)","Verde",502,0.02,5
"Pina_26meses(SC)","Verde",502,0.016,6
"Pina_26meses(SC)","Verde",502,0.014,7
"Pina_26meses(SC)","Verde",502,0.018,8
"Pina_26meses(SC)","Verde",502,0.018,9
