ID,Azul,Verde,Rojo,NIR,Borde rojo
Asys_floracion(SC),0.027,0.12,0.054,0.662,0.141
Asys_floracion(SC),0.019,0.077,0.032,0.612,0.091
Asys_floracion(SC),0.031,0.102,0.049,0.53,0.115
Asys_floracion(SC),0.024,0.087,0.043,0.494,0.1
Asys_floracion(SC),0.016,0.058,0.027,0.414,0.068
Asys_floracion(SC),0.018,0.067,0.031,0.455,0.077
Asys_floracion(SC),0.016,0.062,0.028,0.448,0.074
Asys_floracion(SC),0.015,0.081,0.033,0.526,0.096
Asys_floracion(SC),0.028,0.114,0.054,0.687,0.139
Asys_floracion(SC),0.036,0.11,0.057,0.666,0.131
Asys_floracion(SC),0.026,0.095,0.046,0.62,0.117
Asys_floracion(SC),0.028,0.114,0.054,0.763,0.139
Asys_floracion(SC),0.035,0.146,0.07,0.777,0.181
Asys_floracion(SC),0.024,0.097,0.042,0.685,0.114
Asys_floracion(SC),0.025,0.097,0.043,0.608,0.114
Asys_floracion(SC),0.025,0.098,0.045,0.595,0.117
Asys_floracion(SC),0.021,0.086,0.038,0.545,0.101
Asys_floracion(SC),0.024,0.094,0.042,0.562,0.109
Asys_floracion(SC),0.02,0.078,0.035,0.527,0.092
Asys_floracion(SC),0.02,0.081,0.035,0.578,0.094
Asys_floracion(SC),0.027,0.121,0.054,0.662,0.152
Asys_floracion(SC),0.019,0.078,0.032,0.613,0.098
Asys_floracion(SC),0.031,0.103,0.049,0.531,0.124
Asys_floracion(SC),0.025,0.088,0.042,0.495,0.107
Asys_floracion(SC),0.016,0.059,0.027,0.415,0.074
Asys_floracion(SC),0.018,0.068,0.031,0.457,0.083
Asys_floracion(SC),0.016,0.063,0.028,0.449,0.08
Asys_floracion(SC),0.016,0.082,0.033,0.528,0.104
Asys_floracion(SC),0.028,0.116,0.053,0.688,0.15
Asys_floracion(SC),0.037,0.112,0.056,0.668,0.141
Asys_floracion(SC),0.026,0.096,0.045,0.62,0.126
Asys_floracion(SC),0.028,0.116,0.053,0.763,0.15
Asys_floracion(SC),0.035,0.148,0.069,0.777,0.195
Asys_floracion(SC),0.024,0.098,0.042,0.685,0.123
Asys_floracion(SC),0.025,0.098,0.042,0.609,0.124
Asys_floracion(SC),0.025,0.1,0.045,0.597,0.126
Asys_floracion(SC),0.021,0.086,0.038,0.547,0.109
Asys_floracion(SC),0.025,0.095,0.042,0.563,0.118
Asys_floracion(SC),0.02,0.078,0.035,0.529,0.1
Asys_floracion(SC),0.02,0.082,0.035,0.578,0.102
Asys_floracion(SC),0.027,0.122,0.053,0.663,0.163
Asys_floracion(SC),0.019,0.078,0.031,0.614,0.106
