"ID","Banda","nm","Reflectance","Repeticiones"
"Asys_floracion(SC)","Azul",451,0.027,1
"Asys_floracion(SC)","Azul",451,0.019,2
"Asys_floracion(SC)","Azul",451,0.031,3
"Asys_floracion(SC)","Azul",451,0.024,4
"Asys_floracion(SC)","Azul",451,0.016,5
"Asys_floracion(SC)","Azul",451,0.018,6
"Asys_floracion(SC)","Azul",451,0.016,7
"Asys_floracion(SC)","Azul",451,0.015,8
"Asys_floracion(SC)","Azul",451,0.028,9
"Asys_floracion(SC)","Azul",451,0.036,10
"Asys_floracion(SC)","Azul",451,0.026,11
"Asys_floracion(SC)","Azul",451,0.028,12
"Asys_floracion(SC)","Azul",451,0.035,13
"Asys_floracion(SC)","Azul",451,0.024,14
"Asys_floracion(SC)","Azul",451,0.025,15
"Asys_floracion(SC)","Azul",451,0.025,16
"Asys_floracion(SC)","Azul",451,0.021,17
"Asys_floracion(SC)","Azul",451,0.024,18
"Asys_floracion(SC)","Azul",451,0.02,19
"Asys_floracion(SC)","Azul",451,0.02,20
"Asys_floracion(SC)","Azul",452,0.027,1
"Asys_floracion(SC)","Azul",452,0.019,2
"Asys_floracion(SC)","Azul",452,0.031,3
"Asys_floracion(SC)","Azul",452,0.025,4
"Asys_floracion(SC)","Azul",452,0.016,5
"Asys_floracion(SC)","Azul",452,0.018,6
"Asys_floracion(SC)","Azul",452,0.016,7
"Asys_floracion(SC)","Azul",452,0.016,8
"Asys_floracion(SC)","Azul",452,0.028,9
"Asys_floracion(SC)","Azul",452,0.037,10
"Asys_floracion(SC)","Azul",452,0.026,11
"Asys_floracion(SC)","Azul",452,0.028,12
"Asys_floracion(SC)","Azul",452,0.035,13
"Asys_floracion(SC)","Azul",452,0.024,14
"Asys_floracion(SC)","Azul",452,0.025,15
"Asys_floracion(SC)","Azul",452,0.025,16
"Asys_floracion(SC)","Azul",452,0.021,17
"Asys_floracion(SC)","Azul",452,0.025,18
"Asys_floracion(SC)","Azul",452,0.02,19
"Asys_floracion(SC)","Azul",452,0.02,20
"Asys_floracion(SC)","Azul",453,0.027,1
"Asys_floracion(SC)","Azul",453,0.019,2
"Asys_floracion(SC)","Azul",453,0.031,3
"Asys_floracion(SC)","Azul",453,0.025,4
"Asys_floracion(SC)","Azul",453,0.016,5
"Asys_floracion(SC)","Azul",453,0.018,6
"Asys_floracion(SC)","Azul",453,0.016,7
"Asys_floracion(SC)","Azul",453,0.016,8
"Asys_floracion(SC)","Azul",453,0.028,9
"Asys_floracion(SC)","Azul",453,0.037,10
"Asys_floracion(SC)","Azul",453,0.026,11
"Asys_floracion(SC)","Azul",453,0.028,12
"Asys_floracion(SC)","Azul",453,0.035,13
"Asys_floracion(SC)","Azul",453,0.024,14
"Asys_floracion(SC)","Azul",453,0.025,15
"Asys_floracion(SC)","Azul",453,0.025,16
"Asys_floracion(SC)","Azul",453,0.021,17
"Asys_floracion(SC)","Azul",453,0.025,18
"Asys_floracion(SC)","Azul",453,0.02,19
"Asys_floracion(SC)","Azul",453,0.02,20
"Asys_floracion(SC)","Azul",454,0.027,1
"Asys_floracion(SC)","Azul",454,0.019,2
"Asys_floracion(SC)","Azul",454,0.031,3
"Asys_floracion(SC)","Azul",454,0.025,4
"Asys_floracion(SC)","Azul",454,0.016,5
"Asys_floracion(SC)","Azul",454,0.018,6
"Asys_floracion(SC)","Azul",454,0.016,7
"Asys_floracion(SC)","Azul",454,0.016,8
"Asys_floracion(SC)","Azul",454,0.029,9
"Asys_floracion(SC)","Azul",454,0.037,10
"Asys_floracion(SC)","Azul",454,0.026,11
"Asys_floracion(SC)","Azul",454,0.028,12
"Asys_floracion(SC)","Azul",454,0.035,13
"Asys_floracion(SC)","Azul",454,0.024,14
"Asys_floracion(SC)","Azul",454,0.025,15
"Asys_floracion(SC)","Azul",454,0.025,16
"Asys_floracion(SC)","Azul",454,0.021,17
"Asys_floracion(SC)","Azul",454,0.025,18
"Asys_floracion(SC)","Azul",454,0.02,19
"Asys_floracion(SC)","Azul",454,0.02,20
