"ID","Banda","nm","Reflectance","Repeticiones"
"Asys_floracion(SC)","NIR",751,0.629,1
"Asys_floracion(SC)","NIR",751,0.555,2
"Asys_floracion(SC)","NIR",751,0.524,3
"Asys_floracion(SC)","NIR",751,0.489,4
"Asys_floracion(SC)","NIR",751,0.399,5
"Asys_floracion(SC)","NIR",751,0.454,6
"Asys_floracion(SC)","NIR",751,0.425,7
"Asys_floracion(SC)","NIR",751,0.519,8
"Asys_floracion(SC)","NIR",751,0.649,9
"Asys_floracion(SC)","NIR",751,0.631,10
"Asys_floracion(SC)","NIR",751,0.56,11
"Asys_floracion(SC)","NIR",751,0.699,12
"Asys_floracion(SC)","NIR",751,0.74,13
"Asys_floracion(SC)","NIR",751,0.636,14
"Asys_floracion(SC)","NIR",751,0.578,15
"Asys_floracion(SC)","NIR",751,0.572,16
"Asys_floracion(SC)","NIR",751,0.518,17
"Asys_floracion(SC)","NIR",751,0.553,18
"Asys_floracion(SC)","NIR",751,0.498,19
"Asys_floracion(SC)","NIR",751,0.557,20
"Asys_floracion(SC)","NIR",752,0.633,1
"Asys_floracion(SC)","NIR",752,0.56,2
"Asys_floracion(SC)","NIR",752,0.527,3
"Asys_floracion(SC)","NIR",752,0.492,4
"Asys_floracion(SC)","NIR",752,0.402,5
"Asys_floracion(SC)","NIR",752,0.457,6
"Asys_floracion(SC)","NIR",752,0.428,7
"Asys_floracion(SC)","NIR",752,0.522,8
"Asys_floracion(SC)","NIR",752,0.654,9
"Asys_floracion(SC)","NIR",752,0.635,10
"Asys_floracion(SC)","NIR",752,0.564,11
"Asys_floracion(SC)","NIR",752,0.704,12
"Asys_floracion(SC)","NIR",752,0.744,13
"Asys_floracion(SC)","NIR",752,0.641,14
"Asys_floracion(SC)","NIR",752,0.582,15
"Asys_floracion(SC)","NIR",752,0.576,16
"Asys_floracion(SC)","NIR",752,0.522,17
"Asys_floracion(SC)","NIR",752,0.556,18
"Asys_floracion(SC)","NIR",752,0.503,19
"Asys_floracion(SC)","NIR",752,0.561,20
"Asys_floracion(SC)","NIR",753,0.636,1
"Asys_floracion(SC)","NIR",753,0.564,2
"Asys_floracion(SC)","NIR",753,0.529,3
"Asys_floracion(SC)","NIR",753,0.495,4
"Asys_floracion(SC)","NIR",753,0.405,5
"Asys_floracion(SC)","NIR",753,0.46,6
"Asys_floracion(SC)","NIR",753,0.432,7
"Asys_floracion(SC)","NIR",753,0.526,8
"Asys_floracion(SC)","NIR",753,0.658,9
"Asys_floracion(SC)","NIR",753,0.639,10
"Asys_floracion(SC)","NIR",753,0.567,11
"Asys_floracion(SC)","NIR",753,0.709,12
"Asys_floracion(SC)","NIR",753,0.747,13
"Asys_floracion(SC)","NIR",753,0.645,14
"Asys_floracion(SC)","NIR",753,0.586,15
"Asys_floracion(SC)","NIR",753,0.579,16
"Asys_floracion(SC)","NIR",753,0.525,17
"Asys_floracion(SC)","NIR",753,0.56,18
"Asys_floracion(SC)","NIR",753,0.507,19
"Asys_floracion(SC)","NIR",753,0.565,20
"Asys_floracion(SC)","NIR",754,0.64,1
"Asys_floracion(SC)","NIR",754,0.568,2
"Asys_floracion(SC)","NIR",754,0.532,3
"Asys_floracion(SC)","NIR",754,0.498,4
"Asys_floracion(SC)","NIR",754,0.408,5
"Asys_floracion(SC)","NIR",754,0.463,6
"Asys_floracion(SC)","NIR",754,0.434,7
"Asys_floracion(SC)","NIR",754,0.529,8
"Asys_floracion(SC)","NIR",754,0.661,9
"Asys_floracion(SC)","NIR",754,0.642,10
"Asys_floracion(SC)","NIR",754,0.571,11
"Asys_floracion(SC)","NIR",754,0.713,12
"Asys_floracion(SC)","NIR",754,0.75,13
"Asys_floracion(SC)","NIR",754,0.649,14
