"ID","Banda","nm","Reflectance","Repeticiones"
"Asys_floracion(SC)","Red_edge",700,0.141,1
"Asys_floracion(SC)","Red_edge",700,0.091,2
"Asys_floracion(SC)","Red_edge",700,0.115,3
"Asys_floracion(SC)","Red_edge",700,0.1,4
"Asys_floracion(SC)","Red_edge",700,0.068,5
"Asys_floracion(SC)","Red_edge",700,0.077,6
"Asys_floracion(SC)","Red_edge",700,0.074,7
"Asys_floracion(SC)","Red_edge",700,0.096,8
"Asys_floracion(SC)","Red_edge",700,0.139,9
"Asys_floracion(SC)","Red_edge",700,0.131,10
"Asys_floracion(SC)","Red_edge",700,0.117,11
"Asys_floracion(SC)","Red_edge",700,0.139,12
"Asys_floracion(SC)","Red_edge",700,0.181,13
"Asys_floracion(SC)","Red_edge",700,0.114,14
"Asys_floracion(SC)","Red_edge",700,0.114,15
"Asys_floracion(SC)","Red_edge",700,0.117,16
"Asys_floracion(SC)","Red_edge",700,0.101,17
"Asys_floracion(SC)","Red_edge",700,0.109,18
"Asys_floracion(SC)","Red_edge",700,0.092,19
"Asys_floracion(SC)","Red_edge",700,0.094,20
"Asys_floracion(SC)","Red_edge",701,0.152,1
"Asys_floracion(SC)","Red_edge",701,0.098,2
"Asys_floracion(SC)","Red_edge",701,0.124,3
"Asys_floracion(SC)","Red_edge",701,0.107,4
"Asys_floracion(SC)","Red_edge",701,0.074,5
"Asys_floracion(SC)","Red_edge",701,0.083,6
"Asys_floracion(SC)","Red_edge",701,0.08,7
"Asys_floracion(SC)","Red_edge",701,0.104,8
"Asys_floracion(SC)","Red_edge",701,0.15,9
"Asys_floracion(SC)","Red_edge",701,0.141,10
"Asys_floracion(SC)","Red_edge",701,0.126,11
"Asys_floracion(SC)","Red_edge",701,0.15,12
"Asys_floracion(SC)","Red_edge",701,0.195,13
"Asys_floracion(SC)","Red_edge",701,0.123,14
"Asys_floracion(SC)","Red_edge",701,0.124,15
"Asys_floracion(SC)","Red_edge",701,0.126,16
"Asys_floracion(SC)","Red_edge",701,0.109,17
"Asys_floracion(SC)","Red_edge",701,0.118,18
"Asys_floracion(SC)","Red_edge",701,0.1,19
"Asys_floracion(SC)","Red_edge",701,0.102,20
"Asys_floracion(SC)","Red_edge",702,0.163,1
"Asys_floracion(SC)","Red_edge",702,0.106,2
"Asys_floracion(SC)","Red_edge",702,0.133,3
"Asys_floracion(SC)","Red_edge",702,0.115,4
"Asys_floracion(SC)","Red_edge",702,0.08,5
"Asys_floracion(SC)","Red_edge",702,0.09,6
"Asys_floracion(SC)","Red_edge",702,0.086,7
"Asys_floracion(SC)","Red_edge",702,0.112,8
"Asys_floracion(SC)","Red_edge",702,0.16,9
"Asys_floracion(SC)","Red_edge",702,0.151,10
"Asys_floracion(SC)","Red_edge",702,0.135,11
"Asys_floracion(SC)","Red_edge",702,0.16,12
"Asys_floracion(SC)","Red_edge",702,0.209,13
"Asys_floracion(SC)","Red_edge",702,0.133,14
"Asys_floracion(SC)","Red_edge",702,0.133,15
"Asys_floracion(SC)","Red_edge",702,0.136,16
"Asys_floracion(SC)","Red_edge",702,0.117,17
"Asys_floracion(SC)","Red_edge",702,0.127,18
"Asys_floracion(SC)","Red_edge",702,0.107,19
"Asys_floracion(SC)","Red_edge",702,0.109,20
"Asys_floracion(SC)","Red_edge",703,0.173,1
"Asys_floracion(SC)","Red_edge",703,0.114,2
"Asys_floracion(SC)","Red_edge",703,0.141,3
"Asys_floracion(SC)","Red_edge",703,0.122,4
"Asys_floracion(SC)","Red_edge",703,0.085,5
"Asys_floracion(SC)","Red_edge",703,0.096,6
"Asys_floracion(SC)","Red_edge",703,0.092,7
"Asys_floracion(SC)","Red_edge",703,0.12,8
"Asys_floracion(SC)","Red_edge",703,0.171,9
"Asys_floracion(SC)","Red_edge",703,0.16,10
"Asys_floracion(SC)","Red_edge",703,0.144,11
"Asys_floracion(SC)","Red_edge",703,0.17,12
"Asys_floracion(SC)","Red_edge",703,0.221,13
"Asys_floracion(SC)","Red_edge",703,0.142,14
"Asys_floracion(SC)","Red_edge",703,0.142,15
"Asys_floracion(SC)","Red_edge",703,0.144,16
"Asys_floracion(SC)","Red_edge",703,0.124,17
"Asys_floracion(SC)","Red_edge",703,0.136,18
"Asys_floracion(SC)","Red_edge",703,0.114,19
"Asys_floracion(SC)","Red_edge",703,0.117,20
"Asys_floracion(SC)","Red_edge",704,0.183,1
"Asys_floracion(SC)","Red_edge",704,0.122,2
"Asys_floracion(SC)","Red_edge",704,0.149,3
"Asys_floracion(SC)","Red_edge",704,0.129,4
"Asys_floracion(SC)","Red_edge",704,0.091,5
"Asys_floracion(SC)","Red_edge",704,0.102,6
"Asys_floracion(SC)","Red_edge",704,0.098,7
"Asys_floracion(SC)","Red_edge",704,0.128,8
"Asys_floracion(SC)","Red_edge",704,0.181,9
"Asys_floracion(SC)","Red_edge",704,0.17,10
"Asys_floracion(SC)","Red_edge",704,0.153,11
"Asys_floracion(SC)","Red_edge",704,0.181,12
"Asys_floracion(SC)","Red_edge",704,0.234,13
"Asys_floracion(SC)","Red_edge",704,0.151,14
"Asys_floracion(SC)","Red_edge",704,0.151,15
"Asys_floracion(SC)","Red_edge",704,0.153,16
"Asys_floracion(SC)","Red_edge",704,0.132,17
"Asys_floracion(SC)","Red_edge",704,0.144,18
"Asys_floracion(SC)","Red_edge",704,0.121,19
"Asys_floracion(SC)","Red_edge",704,0.125,20
"Asys_floracion(SC)","Red_edge",705,0.193,1
"Asys_floracion(SC)","Red_edge",705,0.129,2
"Asys_floracion(SC)","Red_edge",705,0.158,3
"Asys_floracion(SC)","Red_edge",705,0.136,4
"Asys_floracion(SC)","Red_edge",705,0.096,5
"Asys_floracion(SC)","Red_edge",705,0.108,6
"Asys_floracion(SC)","Red_edge",705,0.104,7
"Asys_floracion(SC)","Red_edge",705,0.136,8
"Asys_floracion(SC)","Red_edge",705,0.191,9
