"ID","Banda","nm","Reflectance","Repeticiones"
"Pina_26meses(SC)","NIR",751,0.39,1
"Pina_26meses(SC)","NIR",751,0.456,2
"Pina_26meses(SC)","NIR",751,0.424,3
"Pina_26meses(SC)","NIR",751,0.394,4
"Pina_26meses(SC)","NIR",751,0.407,5
"Pina_26meses(SC)","NIR",751,0.389,6
"Pina_26meses(SC)","NIR",751,0.322,7
"Pina_26meses(SC)","NIR",751,0.426,8
"Pina_26meses(SC)","NIR",751,0.351,9
"Pina_26meses(SC)","NIR",751,0.335,10
"Pina_26meses(SC)","NIR",751,0.405,11
"Pina_26meses(SC)","NIR",751,0.388,12
"Pina_26meses(SC)","NIR",751,0.352,13
"Pina_26meses(SC)","NIR",751,0.439,14
"Pina_26meses(SC)","NIR",751,0.395,15
"Pina_26meses(SC)","NIR",751,0.349,16
"Pina_26meses(SC)","NIR",751,0.323,17
"Pina_26meses(SC)","NIR",751,0.379,18
"Pina_26meses(SC)","NIR",751,0.34,19
"Pina_26meses(SC)","NIR",751,0.453,20
"Pina_26meses(SC)","NIR",752,0.393,1
"Pina_26meses(SC)","NIR",752,0.46,2
"Pina_26meses(SC)","NIR",752,0.427,3
"Pina_26meses(SC)","NIR",752,0.398,4
"Pina_26meses(SC)","NIR",752,0.412,5
"Pina_26meses(SC)","NIR",752,0.393,6
"Pina_26meses(SC)","NIR",752,0.326,7
"Pina_26meses(SC)","NIR",752,0.431,8
"Pina_26meses(SC)","NIR",752,0.354,9
"Pina_26meses(SC)","NIR",752,0.339,10
"Pina_26meses(SC)","NIR",752,0.41,11
"Pina_26meses(SC)","NIR",752,0.392,12
"Pina_26meses(SC)","NIR",752,0.356,13
"Pina_26meses(SC)","NIR",752,0.443,14
"Pina_26meses(SC)","NIR",752,0.399,15
"Pina_26meses(SC)","NIR",752,0.352,16
"Pina_26meses(SC)","NIR",752,0.326,17
"Pina_26meses(SC)","NIR",752,0.383,18
"Pina_26meses(SC)","NIR",752,0.343,19
"Pina_26meses(SC)","NIR",752,0.458,20
"Pina_26meses(SC)","NIR",753,0.397,1
"Pina_26meses(SC)","NIR",753,0.464,2
"Pina_26meses(SC)","NIR",753,0.43,3
"Pina_26meses(SC)","NIR",753,0.402,4
"Pina_26meses(SC)","NIR",753,0.416,5
"Pina_26meses(SC)","NIR",753,0.397,6
"Pina_26meses(SC)","NIR",753,0.329,7
"Pina_26meses(SC)","NIR",753,0.435,8
"Pina_26meses(SC)","NIR",753,0.357,9
"Pina_26meses(SC)","NIR",753,0.342,10
"Pina_26meses(SC)","NIR",753,0.414,11
"Pina_26meses(SC)","NIR",753,0.396,12
"Pina_26meses(SC)","NIR",753,0.359,13
"Pina_26meses(SC)","NIR",753,0.447,14
"Pina_26meses(SC)","NIR",753,0.402,15
"Pina_26meses(SC)","NIR",753,0.354,16
"Pina_26meses(SC)","NIR",753,0.329,17
"Pina_26meses(SC)","NIR",753,0.386,18
"Pina_26meses(SC)","NIR",753,0.346,19
"Pina_26meses(SC)","NIR",753,0.463,20
"Pina_26meses(SC)","NIR",754,0.4,1
"Pina_26meses(SC)","NIR",754,0.468,2
"Pina_26meses(SC)","NIR",754,0.432,3
"Pina_26meses(SC)","NIR",754,0.405,4
"Pina_26meses(SC)","NIR",754,0.419,5
"Pina_26meses(SC)","NIR",754,0.401,6
"Pina_26meses(SC)","NIR",754,0.332,7
"Pina_26meses(SC)","NIR",754,0.439,8
"Pina_26meses(SC)","NIR",754,0.36,9
"Pina_26meses(SC)","NIR",754,0.345,10
"Pina_26meses(SC)","NIR",754,0.418,11
"Pina_26meses(SC)","NIR",754,0.399,12
"Pina_26meses(SC)","NIR",754,0.362,13
"Pina_26meses(SC)","NIR",754,0.451,14
"Pina_26meses(SC)","NIR",754,0.406,15
"Pina_26meses(SC)","NIR",754,0.356,16
"Pina_26meses(SC)","NIR",754,0.331,17
"Pina_26meses(SC)","NIR",754,0.389,18
"Pina_26meses(SC)","NIR",754,0.349,19
"Pina_26meses(SC)","NIR",754,0.467,20
"Pina_26meses(SC)","NIR",755,0.403,1
"Pina_26meses(SC)","NIR",755,0.471,2
"Pina_26meses(SC)","NIR",755,0.435,3
"Pina_26meses(SC)","NIR",755,0.408,4
"Pina_26meses(SC)","NIR",755,0.422,5
"Pina_26meses(SC)","NIR",755,0.404,6
"Pina_26meses(SC)","NIR",755,0.334,7
"Pina_26meses(SC)","NIR",755,0.442,8
"Pina_26meses(SC)","NIR",755,0.362,9
"Pina_26meses(SC)","NIR",755,0.347,10
"Pina_26meses(SC)","NIR",755,0.421,11
"Pina_26meses(SC)","NIR",755,0.402,12
"Pina_26meses(SC)","NIR",755,0.365,13
"Pina_26meses(SC)","NIR",755,0.454,14
"Pina_26meses(SC)","NIR",755,0.409,15
"Pina_26meses(SC)","NIR",755,0.358,16
"Pina_26meses(SC)","NIR",755,0.333,17
"Pina_26meses(SC)","NIR",755,0.392,18
"Pina_26meses(SC)","NIR",755,0.351,19
"Pina_26meses(SC)","NIR",755,0.471,20
"Pina_26meses(SC)","NIR",756,0.407,1
"Pina_26meses(SC)","NIR",756,0.474,2
"Pina_26meses(SC)","NIR",756,0.439,3
"Pina_26meses(SC)","NIR",756,0.411,4
"Pina_26meses(SC)","NIR",756,0.426,5
"Pina_26meses(SC)","NIR",756,0.407,6
"Pina_26meses(SC)","NIR",756,0.336,7
"Pina_26meses(SC)","NIR",756,0.444,8
"Pina_26meses(SC)","NIR",756,0.365,9
"Pina_26meses(SC)","NIR",756,0.35,10
"Pina_26meses(SC)","NIR",756,0.425,11
"Pina_26meses(SC)","NIR",756,0.405,12
"Pina_26meses(SC)","NIR",756,0.366,13
"Pina_26meses(SC)","NIR",756,0.456,14
"Pina_26meses(SC)","NIR",756,0.411,15
"Pina_26meses(SC)","NIR",756,0.36,16
"Pina_26meses(SC)","NIR",756,0.334,17
"Pina_26meses(SC)","NIR",756,0.394,18
"Pina_26meses(SC)","NIR",756,0.354,19
"Pina_26meses(SC)","NIR",756,0.475,20
"Pina_26meses(SC)","NIR",757,0.409,1
"Pina_26meses(SC)","NIR",757,0.478,2
"Pina_26meses(SC)","NIR",757,0.439,3
"Pina_26meses(SC)","NIR",757,0.415,4
"Pina_26meses(SC)","NIR",757,0.429,5
"Pina_26meses(SC)","NIR",757,0.409,6
"Pina_26meses(SC)","NIR",757,0.338,7
"Pina_26meses(SC)","NIR",757,0.446,8
"Pina_26meses(SC)","NIR",757,0.367,9
"Pina_26meses(SC)","NIR",757,0.353,10
"Pina_26meses(SC)","NIR",757,0.427,11
"Pina_26meses(SC)","NIR",757,0.407,12
"Pina_26meses(SC)","NIR",757,0.369,13
"Pina_26meses(SC)","NIR",757,0.458,14
"Pina_26meses(SC)","NIR",757,0.412,15
"Pina_26meses(SC)","NIR",757,0.362,16
"Pina_26meses(SC)","NIR",757,0.337,17
"Pina_26meses(SC)","NIR",757,0.397,18
"Pina_26meses(SC)","NIR",757,0.355,19
"Pina_26meses(SC)","NIR",757,0.477,20
"Pina_26meses(SC)","NIR",758,0.41,1
"Pina_26meses(SC)","NIR",758,0.484,2
"Pina_26meses(SC)","NIR",758,0.437,3
"Pina_26meses(SC)","NIR",758,0.419,4
"Pina_26meses(SC)","NIR",758,0.432,5
"Pina_26meses(SC)","NIR",758,0.411,6
"Pina_26meses(SC)","NIR",758,0.34,7
"Pina_26meses(SC)","NIR",758,0.447,8
"Pina_26meses(SC)","NIR",758,0.367,9
"Pina_26meses(SC)","NIR",758,0.356,10
"Pina_26meses(SC)","NIR",758,0.43,11
"Pina_26meses(SC)","NIR",758,0.41,12
"Pina_26meses(SC)","NIR",758,0.374,13
"Pina_26meses(SC)","NIR",758,0.459,14
"Pina_26meses(SC)","NIR",758,0.412,15
"Pina_26meses(SC)","NIR",758,0.364,16
"Pina_26meses(SC)","NIR",758,0.343,17
"Pina_26meses(SC)","NIR",758,0.398,18
"Pina_26meses(SC)","NIR",758,0.355,19
"Pina_26meses(SC)","NIR",758,0.478,20
"Pina_26meses(SC)","NIR",759,0.412,1
"Pina_26meses(SC)","NIR",759,0.493,2
"Pina_26meses(SC)","NIR",759,0.434,3
"Pina_26meses(SC)","NIR",759,0.424,4
"Pina_26meses(SC)","NIR",759,0.436,5
"Pina_26meses(SC)","NIR",759,0.414,6
"Pina_26meses(SC)","NIR",759,0.342,7
"Pina_26meses(SC)","NIR",759,0.448,8
"Pina_26meses(SC)","NIR",759,0.366,9
"Pina_26meses(SC)","NIR",759,0.36,10
"Pina_26meses(SC)","NIR",759,0.433,11
"Pina_26meses(SC)","NIR",759,0.414,12
"Pina_26meses(SC)","NIR",759,0.379,13
"Pina_26meses(SC)","NIR",759,0.46,14
"Pina_26meses(SC)","NIR",759,0.411,15
"Pina_26meses(SC)","NIR",759,0.367,16
"Pina_26meses(SC)","NIR",759,0.35,17
"Pina_26meses(SC)","NIR",759,0.399,18
"Pina_26meses(SC)","NIR",759,0.354,19
"Pina_26meses(SC)","NIR",759,0.478,20
"Pina_26meses(SC)","NIR",760,0.42,1
"Pina_26meses(SC)","NIR",760,0.499,2
"Pina_26meses(SC)","NIR",760,0.44,3
