"ID","Banda","nm","Reflectance","Repeticiones"
"Pina_26meses(SC)","Rojo",621,0.036,1
"Pina_26meses(SC)","Rojo",621,0.027,2
"Pina_26meses(SC)","Rojo",621,0.042,3
"Pina_26meses(SC)","Rojo",621,0.028,4
"Pina_26meses(SC)","Rojo",621,0.027,5
"Pina_26meses(SC)","Rojo",621,0.024,6
"Pina_26meses(SC)","Rojo",621,0.02,7
"Pina_26meses(SC)","Rojo",621,0.023,8
"Pina_26meses(SC)","Rojo",621,0.027,9
"Pina_26meses(SC)","Rojo",621,0.027,10
"Pina_26meses(SC)","Rojo",621,0.025,11
"Pina_26meses(SC)","Rojo",621,0.023,12
"Pina_26meses(SC)","Rojo",621,0.02,13
"Pina_26meses(SC)","Rojo",621,0.026,14
"Pina_26meses(SC)","Rojo",621,0.039,15
"Pina_26meses(SC)","Rojo",621,0.031,16
"Pina_26meses(SC)","Rojo",621,0.031,17
"Pina_26meses(SC)","Rojo",621,0.026,18
"Pina_26meses(SC)","Rojo",621,0.03,19
"Pina_26meses(SC)","Rojo",621,0.027,20
"Pina_26meses(SC)","Rojo",622,0.036,1
"Pina_26meses(SC)","Rojo",622,0.027,2
"Pina_26meses(SC)","Rojo",622,0.041,3
"Pina_26meses(SC)","Rojo",622,0.028,4
"Pina_26meses(SC)","Rojo",622,0.027,5
"Pina_26meses(SC)","Rojo",622,0.023,6
"Pina_26meses(SC)","Rojo",622,0.019,7
"Pina_26meses(SC)","Rojo",622,0.023,8
"Pina_26meses(SC)","Rojo",622,0.027,9
"Pina_26meses(SC)","Rojo",622,0.027,10
"Pina_26meses(SC)","Rojo",622,0.025,11
"Pina_26meses(SC)","Rojo",622,0.023,12
"Pina_26meses(SC)","Rojo",622,0.02,13
"Pina_26meses(SC)","Rojo",622,0.026,14
"Pina_26meses(SC)","Rojo",622,0.039,15
"Pina_26meses(SC)","Rojo",622,0.031,16
"Pina_26meses(SC)","Rojo",622,0.031,17
"Pina_26meses(SC)","Rojo",622,0.026,18
"Pina_26meses(SC)","Rojo",622,0.03,19
"Pina_26meses(SC)","Rojo",622,0.027,20
"Pina_26meses(SC)","Rojo",623,0.036,1
"Pina_26meses(SC)","Rojo",623,0.027,2
"Pina_26meses(SC)","Rojo",623,0.041,3
"Pina_26meses(SC)","Rojo",623,0.028,4
"Pina_26meses(SC)","Rojo",623,0.027,5
"Pina_26meses(SC)","Rojo",623,0.023,6
"Pina_26meses(SC)","Rojo",623,0.019,7
"Pina_26meses(SC)","Rojo",623,0.023,8
"Pina_26meses(SC)","Rojo",623,0.027,9
"Pina_26meses(SC)","Rojo",623,0.027,10
"Pina_26meses(SC)","Rojo",623,0.025,11
"Pina_26meses(SC)","Rojo",623,0.023,12
"Pina_26meses(SC)","Rojo",623,0.02,13
"Pina_26meses(SC)","Rojo",623,0.026,14
"Pina_26meses(SC)","Rojo",623,0.039,15
"Pina_26meses(SC)","Rojo",623,0.031,16
"Pina_26meses(SC)","Rojo",623,0.031,17
"Pina_26meses(SC)","Rojo",623,0.026,18
"Pina_26meses(SC)","Rojo",623,0.029,19
"Pina_26meses(SC)","Rojo",623,0.027,20
"Pina_26meses(SC)","Rojo",624,0.036,1
"Pina_26meses(SC)","Rojo",624,0.027,2
"Pina_26meses(SC)","Rojo",624,0.041,3
"Pina_26meses(SC)","Rojo",624,0.028,4
"Pina_26meses(SC)","Rojo",624,0.027,5
"Pina_26meses(SC)","Rojo",624,0.023,6
"Pina_26meses(SC)","Rojo",624,0.019,7
"Pina_26meses(SC)","Rojo",624,0.023,8
"Pina_26meses(SC)","Rojo",624,0.027,9
"Pina_26meses(SC)","Rojo",624,0.027,10
"Pina_26meses(SC)","Rojo",624,0.025,11
"Pina_26meses(SC)","Rojo",624,0.023,12
"Pina_26meses(SC)","Rojo",624,0.02,13
"Pina_26meses(SC)","Rojo",624,0.026,14
"Pina_26meses(SC)","Rojo",624,0.039,15
"Pina_26meses(SC)","Rojo",624,0.031,16
"Pina_26meses(SC)","Rojo",624,0.031,17
"Pina_26meses(SC)","Rojo",624,0.026,18
"Pina_26meses(SC)","Rojo",624,0.029,19
"Pina_26meses(SC)","Rojo",624,0.026,20
"Pina_26meses(SC)","Rojo",625,0.036,1
"Pina_26meses(SC)","Rojo",625,0.027,2
"Pina_26meses(SC)","Rojo",625,0.041,3
"Pina_26meses(SC)","Rojo",625,0.028,4
"Pina_26meses(SC)","Rojo",625,0.027,5
"Pina_26meses(SC)","Rojo",625,0.023,6
"Pina_26meses(SC)","Rojo",625,0.019,7
"Pina_26meses(SC)","Rojo",625,0.023,8
"Pina_26meses(SC)","Rojo",625,0.027,9
"Pina_26meses(SC)","Rojo",625,0.027,10
"Pina_26meses(SC)","Rojo",625,0.025,11
"Pina_26meses(SC)","Rojo",625,0.023,12
"Pina_26meses(SC)","Rojo",625,0.02,13
"Pina_26meses(SC)","Rojo",625,0.026,14
"Pina_26meses(SC)","Rojo",625,0.039,15
"Pina_26meses(SC)","Rojo",625,0.031,16
"Pina_26meses(SC)","Rojo",625,0.031,17
"Pina_26meses(SC)","Rojo",625,0.026,18
"Pina_26meses(SC)","Rojo",625,0.029,19
"Pina_26meses(SC)","Rojo",625,0.026,20
"Pina_26meses(SC)","Rojo",626,0.036,1
"Pina_26meses(SC)","Rojo",626,0.027,2
"Pina_26meses(SC)","Rojo",626,0.041,3
"Pina_26meses(SC)","Rojo",626,0.028,4
"Pina_26meses(SC)","Rojo",626,0.027,5
"Pina_26meses(SC)","Rojo",626,0.023,6
"Pina_26meses(SC)","Rojo",626,0.019,7
"Pina_26meses(SC)","Rojo",626,0.023,8
"Pina_26meses(SC)","Rojo",626,0.027,9
"Pina_26meses(SC)","Rojo",626,0.027,10
"Pina_26meses(SC)","Rojo",626,0.025,11
"Pina_26meses(SC)","Rojo",626,0.023,12
"Pina_26meses(SC)","Rojo",626,0.02,13
"Pina_26meses(SC)","Rojo",626,0.025,14
"Pina_26meses(SC)","Rojo",626,0.039,15
"Pina_26meses(SC)","Rojo",626,0.031,16
"Pina_26meses(SC)","Rojo",626,0.031,17
"Pina_26meses(SC)","Rojo",626,0.026,18
"Pina_26meses(SC)","Rojo",626,0.029,19
"Pina_26meses(SC)","Rojo",626,0.026,20
"Pina_26meses(SC)","Rojo",627,0.036,1
"Pina_26meses(SC)","Rojo",627,0.027,2
"Pina_26meses(SC)","Rojo",627,0.041,3
"Pina_26meses(SC)","Rojo",627,0.028,4
"Pina_26meses(SC)","Rojo",627,0.027,5
"Pina_26meses(SC)","Rojo",627,0.023,6
"Pina_26meses(SC)","Rojo",627,0.019,7
"Pina_26meses(SC)","Rojo",627,0.023,8
"Pina_26meses(SC)","Rojo",627,0.027,9
"Pina_26meses(SC)","Rojo",627,0.027,10
"Pina_26meses(SC)","Rojo",627,0.024,11
"Pina_26meses(SC)","Rojo",627,0.023,12
"Pina_26meses(SC)","Rojo",627,0.02,13
"Pina_26meses(SC)","Rojo",627,0.025,14
"Pina_26meses(SC)","Rojo",627,0.039,15
"Pina_26meses(SC)","Rojo",627,0.031,16
"Pina_26meses(SC)","Rojo",627,0.031,17
"Pina_26meses(SC)","Rojo",627,0.026,18
"Pina_26meses(SC)","Rojo",627,0.029,19
"Pina_26meses(SC)","Rojo",627,0.026,20
"Pina_26meses(SC)","Rojo",628,0.036,1
"Pina_26meses(SC)","Rojo",628,0.027,2
"Pina_26meses(SC)","Rojo",628,0.041,3
"Pina_26meses(SC)","Rojo",628,0.028,4
"Pina_26meses(SC)","Rojo",628,0.027,5
"Pina_26meses(SC)","Rojo",628,0.023,6
"Pina_26meses(SC)","Rojo",628,0.019,7
"Pina_26meses(SC)","Rojo",628,0.022,8
"Pina_26meses(SC)","Rojo",628,0.027,9
"Pina_26meses(SC)","Rojo",628,0.027,10
"Pina_26meses(SC)","Rojo",628,0.024,11
"Pina_26meses(SC)","Rojo",628,0.023,12
"Pina_26meses(SC)","Rojo",628,0.02,13
"Pina_26meses(SC)","Rojo",628,0.025,14
"Pina_26meses(SC)","Rojo",628,0.039,15
"Pina_26meses(SC)","Rojo",628,0.031,16
"Pina_26meses(SC)","Rojo",628,0.031,17
"Pina_26meses(SC)","Rojo",628,0.026,18
"Pina_26meses(SC)","Rojo",628,0.029,19
"Pina_26meses(SC)","Rojo",628,0.026,20
"Pina_26meses(SC)","Rojo",629,0.036,1
"Pina_26meses(SC)","Rojo",629,0.027,2
"Pina_26meses(SC)","Rojo",629,0.041,3
"Pina_26meses(SC)","Rojo",629,0.027,4
"Pina_26meses(SC)","Rojo",629,0.027,5
"Pina_26meses(SC)","Rojo",629,0.023,6
"Pina_26meses(SC)","Rojo",629,0.019,7
"Pina_26meses(SC)","Rojo",629,0.022,8
"Pina_26meses(SC)","Rojo",629,0.027,9
"Pina_26meses(SC)","Rojo",629,0.026,10
"Pina_26meses(SC)","Rojo",629,0.024,11
"Pina_26meses(SC)","Rojo",629,0.023,12
"Pina_26meses(SC)","Rojo",629,0.02,13
"Pina_26meses(SC)","Rojo",629,0.025,14
"Pina_26meses(SC)","Rojo",629,0.039,15
"Pina_26meses(SC)","Rojo",629,0.031,16
"Pina_26meses(SC)","Rojo",629,0.031,17
"Pina_26meses(SC)","Rojo",629,0.025,18
"Pina_26meses(SC)","Rojo",629,0.029,19
"Pina_26meses(SC)","Rojo",629,0.026,20
"Pina_26meses(SC)","Rojo",630,0.036,1
"Pina_26meses(SC)","Rojo",630,0.027,2
"Pina_26meses(SC)","Rojo",630,0.041,3
"Pina_26meses(SC)","Rojo",630,0.027,4
"Pina_26meses(SC)","Rojo",630,0.027,5
"Pina_26meses(SC)","Rojo",630,0.023,6
"Pina_26meses(SC)","Rojo",630,0.019,7
"Pina_26meses(SC)","Rojo",630,0.022,8
"Pina_26meses(SC)","Rojo",630,0.027,9
"Pina_26meses(SC)","Rojo",630,0.026,10
"Pina_26meses(SC)","Rojo",630,0.024,11
"Pina_26meses(SC)","Rojo",630,0.023,12
"Pina_26meses(SC)","Rojo",630,0.02,13
"Pina_26meses(SC)","Rojo",630,0.025,14
"Pina_26meses(SC)","Rojo",630,0.039,15
"Pina_26meses(SC)","Rojo",630,0.03,16
"Pina_26meses(SC)","Rojo",630,0.031,17
"Pina_26meses(SC)","Rojo",630,0.025,18
