ID,Verde,NIR
Pina_26meses(SC),0.023,0.39
Pina_26meses(SC),0.016,0.456
Pina_26meses(SC),0.027,0.424
Pina_26meses(SC),0.019,0.394
Pina_26meses(SC),0.019,0.407
Pina_26meses(SC),0.015,0.389
Pina_26meses(SC),0.013,0.322
Pina_26meses(SC),0.016,0.426
Pina_26meses(SC),0.017,0.351
Pina_26meses(SC),0.018,0.335
Pina_26meses(SC),0.018,0.405
Pina_26meses(SC),0.015,0.388
Pina_26meses(SC),0.014,0.352
Pina_26meses(SC),0.017,0.439
Pina_26meses(SC),0.028,0.395
Pina_26meses(SC),0.018,0.349
Pina_26meses(SC),0.022,0.323
Pina_26meses(SC),0.018,0.379
Pina_26meses(SC),0.019,0.34
Pina_26meses(SC),0.018,0.453
Pina_26meses(SC),0.023,0.393
Pina_26meses(SC),0.017,0.46
Pina_26meses(SC),0.028,0.427
Pina_26meses(SC),0.019,0.398
Pina_26meses(SC),0.019,0.412
Pina_26meses(SC),0.015,0.393
Pina_26meses(SC),0.013,0.326
Pina_26meses(SC),0.016,0.431
Pina_26meses(SC),0.017,0.354
Pina_26meses(SC),0.018,0.339
Pina_26meses(SC),0.018,0.41
Pina_26meses(SC),0.015,0.392
Pina_26meses(SC),0.015,0.356
Pina_26meses(SC),0.017,0.443
Pina_26meses(SC),0.028,0.399
Pina_26meses(SC),0.018,0.352
Pina_26meses(SC),0.022,0.326
Pina_26meses(SC),0.018,0.383
Pina_26meses(SC),0.02,0.343
Pina_26meses(SC),0.018,0.458
Pina_26meses(SC),0.024,0.397
Pina_26meses(SC),0.017,0.464
Pina_26meses(SC),0.028,0.43
Pina_26meses(SC),0.02,0.402
Pina_26meses(SC),0.019,0.416
Pina_26meses(SC),0.015,0.397
Pina_26meses(SC),0.013,0.329
Pina_26meses(SC),0.017,0.435
Pina_26meses(SC),0.017,0.357
Pina_26meses(SC),0.018,0.342
Pina_26meses(SC),0.018,0.414
Pina_26meses(SC),0.015,0.396
Pina_26meses(SC),0.015,0.359
Pina_26meses(SC),0.017,0.447
Pina_26meses(SC),0.028,0.402
Pina_26meses(SC),0.019,0.354
Pina_26meses(SC),0.022,0.329
Pina_26meses(SC),0.019,0.386
Pina_26meses(SC),0.02,0.346
Pina_26meses(SC),0.019,0.463
Pina_26meses(SC),0.024,0.4
Pina_26meses(SC),0.017,0.468
Pina_26meses(SC),0.028,0.432
Pina_26meses(SC),0.02,0.405
Pina_26meses(SC),0.02,0.419
Pina_26meses(SC),0.015,0.401
Pina_26meses(SC),0.014,0.332
Pina_26meses(SC),0.017,0.439
Pina_26meses(SC),0.017,0.36
Pina_26meses(SC),0.019,0.345
Pina_26meses(SC),0.018,0.418
Pina_26meses(SC),0.016,0.399
Pina_26meses(SC),0.015,0.362
Pina_26meses(SC),0.018,0.451
Pina_26meses(SC),0.029,0.406
Pina_26meses(SC),0.019,0.356
Pina_26meses(SC),0.022,0.331
Pina_26meses(SC),0.019,0.389
Pina_26meses(SC),0.02,0.349
Pina_26meses(SC),0.019,0.467
Pina_26meses(SC),0.024,0.403
Pina_26meses(SC),0.018,0.471
Pina_26meses(SC),0.029,0.435
Pina_26meses(SC),0.02,0.408
Pina_26meses(SC),0.02,0.422
Pina_26meses(SC),0.016,0.404
Pina_26meses(SC),0.014,0.334
Pina_26meses(SC),0.017,0.442
Pina_26meses(SC),0.018,0.362
Pina_26meses(SC),0.019,0.347
Pina_26meses(SC),0.018,0.421
Pina_26meses(SC),0.016,0.402
Pina_26meses(SC),0.015,0.365
Pina_26meses(SC),0.018,0.454
Pina_26meses(SC),0.029,0.409
Pina_26meses(SC),0.019,0.358
Pina_26meses(SC),0.022,0.333
Pina_26meses(SC),0.019,0.392
Pina_26meses(SC),0.02,0.351
Pina_26meses(SC),0.019,0.471
Pina_26meses(SC),0.025,0.407
Pina_26meses(SC),0.018,0.474
Pina_26meses(SC),0.029,0.439
Pina_26meses(SC),0.021,0.411
Pina_26meses(SC),0.02,0.426
Pina_26meses(SC),0.016,0.407
Pina_26meses(SC),0.014,0.336
Pina_26meses(SC),0.017,0.444
Pina_26meses(SC),0.018,0.365
Pina_26meses(SC),0.019,0.35
Pina_26meses(SC),0.019,0.425
Pina_26meses(SC),0.016,0.405
Pina_26meses(SC),0.015,0.366
Pina_26meses(SC),0.018,0.456
Pina_26meses(SC),0.029,0.411
Pina_26meses(SC),0.02,0.36
Pina_26meses(SC),0.023,0.334
Pina_26meses(SC),0.019,0.394
Pina_26meses(SC),0.021,0.354
Pina_26meses(SC),0.02,0.475
Pina_26meses(SC),0.025,0.409
Pina_26meses(SC),0.019,0.478
